"","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","30","31","32","33","34","35","36","37","38","39","4","40","41","42","43","44","45","46","47","48","49","5","50","51","52","53","54","55","56","57","58","59","6","60","7","8","9","B"
"Feature0001",21603466.7928467,24711983.2366447,5919705.26522539,18363700.4523197,7570346.66252247,6855145.61446188,14635676.918531,146165212.551103,150084225.982359,25352865.8357624,6483335.53723733,167374802.077334,39748327.5407624,23349086.3915687,152498383.740954,29828494.0141147,19611947.4706162,184761731.602684,4130730.31898677,26299672.5489249,164552961.282796,3845898.5595213,38964722.8906189,13740450.3638886,131033852.006855,159105482.939911,25355120.98618,23186751.6343716,3838442.4828521,178067782.683296,7655901.42976618,19181751.8477558,25879063.6782147,3761797.4181022,167040568.357251,132518295.251312,13113228.5126723,44819096.4886569,30708044.4229749,30144356.5904182,31650772.6134475,26133005.2186194,161555860.715027,13199730.9620575,36871627.8637622,23712483.5581629,10146620.0621292,5213464.40216285,24919723.561055,212381910.421086,160031634.036596,4024897.22683271,4733787.44400817,33503097.5714734,28107082.995858,26326613.5852372,2137984.95652665,31190081.2617379,7845700.47334883,25149892.835234,9662752.99064622
"Feature0002",11084418.7475972,23871347.7283563,9202272.75691784,7119570.91348349,10450515.9551306,17756865.9190022,14782400.3131301,11079256.4403658,16167826.8339834,32436280.3558211,8003828.86928972,9421344.41128418,10731315.1327543,7371132.53365812,12987137.7297582,30967223.5179792,9687917.98016226,12286001.2520661,8468478.43786432,29248872.060388,10542768.6200178,7912729.61798506,19192240.5008249,7292370.93161321,11060669.0329086,13363252.6615909,24485637.0032946,33474985.9433289,7197999.70000063,11768367.0043066,8010336.70709081,24046195.9012015,12559618.7633517,7581281.88944806,10884383.1706857,12453359.0889017,17704213.6253693,15784638.9884299,17920833.5677866,20299639.2947686,16730306.1271178,10389972.1060081,13135645.1957223,7841905.42926705,15480175.4175271,9276757.06793654,10043662.1294541,7147281.06118066,17211658.8081513,16982721.5230595,16528697.8730679,9657396.30351485,12502055.3828368,18970999.2673854,34676946.9030828,27625789.7941815,17874212.331809,14163887.4408497,9238942.7158389,12962224.6003985,8059220.29113947
"Feature0003",1007144.95651914,9059616.28824704,14361752.0792319,2787584.23118538,15509941.3605193,9716501.99480243,3062603.04234516,16480150.3757956,14697054.9548209,5467864.67331103,11262707.2078854,24941627.3858037,1931257.28343076,2138406.21336569,21544947.9901976,25394777.6185342,405840.327163032,19304261.9326856,9557476.93378378,17509768.1555475,15491116.4489626,8938135.99681721,312230.135780062,760072.236402319,16244102.7795217,18644826.686869,14094382.7471354,39606124.5202776,7261760.77529571,21709674.9608316,9479956.95986016,17269661.4556347,4785575.7925974,11098181.5446522,17814060.5730134,14303411.2010388,3459584.78124358,890995.247364784,866489.38259972,2045942.81735903,937984.647115216,3650869.06841335,17729698.421309,10270062.63066,3755633.38167059,1872566.56829316,14631134.1093511,8476151.31843964,5707930.75040077,18336569.0390984,23761842.0191298,9569047.78108856,9265764.34783577,676186.668787874,5206940.09564883,5339509.16380728,14346892.5664804,3569464.89321343,11372835.8772595,1498955.85001713,2925078.59897619
"Feature0004",4868077.06838958,179005747.525342,115873448.066212,3773683.21286798,160524653.90533,266334811.031615,191314135.534417,174237611.490887,94903778.0348285,372908877.643279,151687708.402204,182979968.339827,1994390.92725207,15394847.1321035,199486145.903966,219440221.312672,1676292.42353746,203491144.604952,143049084.297279,168870632.452084,185949040.309632,150584476.99283,1659915.29643809,6947453.74471015,144209877.034211,187193552.755423,206832333.519455,245347653.948947,117647121.582025,192465068.568319,99826038.9115413,176362528.144325,1867878.72336711,163561231.216177,177192420.198352,173674226.797332,2550894.04252381,2007423.32529487,8096966.49962942,6535920.64811399,1362385.72019052,19429514.5719475,126502160.0743,71915919.6376446,5096426.30394864,133560066.622569,119882753.383714,126694034.622075,3335726.0462562,216050987.96884,218748400.724514,133655089.898235,168878792.789661,1781876.91678295,150721642.259459,193685389.745647,232085354.853569,1922847.73905909,146828863.279114,2961034.11753796,10485014.0870177
"Feature0005",1781876.91678295,1298735.16495978,5052939.94109724,2184704.65540651,3747336.65505126,857379.544819098,421564.668239124,266443698.446901,262197073.734798,828418.112310113,4738372.48385699,304183132.624883,1317551.84878862,1916373.53174579,282058130.350694,956249.504577248,2160704.3398272,332897802.363417,3235442.46239452,1804141.74341697,318778738.924177,3621888.8024215,1484096.39545075,3847569.13883216,242639154.649769,295420168.897053,1050083.093991,2470207.75735074,2855686.06025223,298651828.001867,4099398.24936105,1145314.29002453,2060748.51801787,4728373.26962816,286084767.141073,239936992.587913,4679787.81839928,2443779.53219335,1192809.81556922,1613276.20243659,1906319.06671639,996224.32421382,294790998.719987,4246099.00223128,2287197.19224948,1743247.75626288,4765458.91159386,3527026.93468748,1305132.35554633,437336862.047937,270805981.686523,3536660.72060072,4409272.40393126,3513212.53675674,1613892.69518276,734201.550730248,6446180.12970049,2060262.47573135,4813702.52715492,2217192.94886996,11585205.967582
"Feature0006",2676739.46643366,1980109.82388423,3451772.24682555,2726173.58318993,3699131.16083222,1188319.1371512,883940.719835009,225690282.012313,203663796.019703,2203008.1809598,3290254.38488096,211825706.182526,3236034.81539829,2576825.50292811,246935903.371005,1533568.27292205,2800001.67839156,238164893.593258,3353481.45968914,2147710.52026446,235806532.71407,3992993.35617667,1848580.02953054,3622531.82857435,182301222.532434,239338405.676449,1770736.53140972,2661012.03031333,2757041.23176667,214460187.92734,3720047.75284582,1505243.88950888,2802375.27933594,4131112.76703323,206713402.145635,203069304.346071,4648920.89019958,4272250.19023887,1762838.21818878,1831492.14634608,2588876.74396308,656260.3170405,222607430.179537,4040409.82157053,2393833.69654872,4717992.23992171,3027405.80187267,3654412.70768502,1346523.28339955,287196880.594471,193818668.415086,2553239.66744944,4429294.83520536,4048252.74209363,2043406.51919445,1264793.54128498,3433893.55143809,2053751.10392447,3956038.50001029,2932064.30407843,8242751.23771286
"Feature0007",4287446.37630204,5015377.22166275,3594607.74860152,2759386.72170208,498878.946643798,1793284.89357428,8926171.38373618,135464204.590952,51217689.7300311,2049179.77188558,344710.493239448,136070624.291517,29499602.9830458,9465371.08622596,85237441.0059235,1526807.84335357,3852247.19170586,196856934.256634,6409290.02847023,1797968.45922874,157885961.190793,6974141.27093772,11529208.7826665,2979983.53228454,79390144.391417,156211666.145502,1701949.46250572,1272712.77627962,9545315.83917917,150359079.67264,384056.167440657,1751872.80269348,2888504.16847736,27862432.0120492,142378391.891341,132393531.829654,6589990.44647456,3393732.57120014,4810050.99405239,4692611.64001911,8558541.91554601,5538926.63512698,121669483.64701,861362.015846205,18244872.6317898,16388472.3980826,616224.665673623,1530397.33517162,6109894.94238008,212467209.388182,159157327.566151,311383.45830446,319893.34672913,2826564.81288688,6218412.13115442,12101396.1055127,534264.769912731,8357941.13015648,440067.913909655,4005531.17093867,5854068.06099346
"Feature0008",89178260.2847516,77591337.3119725,12804141.0900397,36477640.7282081,13106888.5562102,27709155.3748718,28133584.0015362,77680939.1429797,32443109.0703096,46256415.3789596,9847417.29143676,79825209.1267159,115366787.792574,82801897.7114892,61406139.3293949,9108841.17157787,59662578.218985,95967151.5830762,16446106.2951564,17389582.1361738,89007923.9979498,15981585.1124997,88923985.8646785,99031348.5703672,62932091.7605191,77578729.4653965,5989881.41957092,36029266.2659043,17277827.8412628,95524856.5412611,12474629.301298,11690788.3638022,52764880.7439281,11725485.3359739,66867053.2470728,64537520.9877537,102341285.775766,95783749.7680436,86804231.1781486,107531033.345092,100293432.376435,62118417.7514346,68137604.7122178,15826078.1525206,98558514.6034809,12225887.0885007,14635349.6209176,9894001.92455937,40046241.2779078,108227980.504061,74047035.5002951,14415399.576742,12125859.1809272,155373032.475327,133998001.608915,64229316.4608414,18072083.7509503,95863946.8689559,12678052.0717543,116569502.369634,6104985.57856174
"Feature0009",550184.195076571,532387.521497849,2643144.14737835,515159.229332973,2106510.99012885,255085.18825001,233006.16801274,38912694.6420341,45963936.3789945,320776.500077216,2478862.75798046,40476035.8884466,559760.860486604,498604.077070162,53152762.2767358,371457.629342366,424329.135286806,52980237.7248986,1292828.38647325,373599.466254289,52939139.760322,1264012.91762661,360316.927097098,552062.280920242,38402206.4390854,39615093.312384,357307.972897219,538650.354373552,1194372.18856485,40309378.4326836,2017795.93517049,255069.399528025,359903.79052836,1633198.99279807,40430158.9250063,34376813.6239549,687389.686066398,584036.701232514,237355.306714677,352628.087581854,378072.649085543,145325.876794876,48167097.5696039,1967501.08232462,437002.192820772,1425735.34690398,2931355.10550101,1211028.52433163,384321.760882729,63966300.0857648,37943788.1638328,1547961.02063939,1935138.93649319,466332.127686633,298022.86967128,339575.316707179,3892647.05825111,480700.266394665,3148090.54588615,826924.398649729,3724596.60379561
