LC-MS_ID,ID,Plant,Fungi,replicate,Fungi2,,,SampleID
12,7EE3,ERLE,1177,3,1154/1177,12_ERLE_1177.3,Area: 12_ERLE_1177.3,12plus_RP_pos_MS2
11,6EN1,ERIN,1246,1,1246,11_ERIN_1246.1,Area: 11_ERIN_1246.1,11plus_RP_pos_MS2
10,4CL3,CTRL,1154,3,1154/1177,10_CTRL_1154.3,Area: 10_CTRL_1154.3,10plus_RP_pos_MS2
9,4EE2,ERLE,1154,2,1154/1177,9_ERLE_1154.2,Area: 9_ERLE_1154.2,9plus_RP_pos_MS2
8,6EN2,ERIN,1246,2,1246,8_ERIN_1246.2,Area: 8_ERIN_1246.2,8plus_RP_pos_MS2
7,4BU1,BOCU,1154,1,1154/1177,7_BOCU_1154.1,Area: 7_BOCU_1154.1,7plus_RP_pos_MS2
6,7LU1,LEDU,1177,1,1154/1177,6_LEDU_1177.1,Area: 6_LEDU_1177.1,6plus_RP_pos_MS2
5,4LU2,LEDU,1154,2,1154/1177,5_LEDU_1154.2,Area: 5_LEDU_1154.2,5plus_RP_pos_MS2
4,6BU3,BOCU,1246,3,1246,4_BOCU_1246.3,Area: 4_BOCU_1246.3,4plus_RP_pos_MS2
3,4LU3,LEDU,1154,3,1154/1177,3_LEDU_1154.3,Area: 3_LEDU_1154.3,3plus_RP_pos_MS2
2,CLCL2,CTRL,CTRL,2,CTRL,2_CTRL_CTRL.2,Area: 2_CTRL_CTRL.2,2plus_RP_pos_MS2
1,7EN3,ERIN,1177,3,1154/1177,1_ERIN_1177.3,Area: 1_ERIN_1177.3,1plus_RP_pos_MS2
