"","10","18","20","3","30","42","43","44","45","46","5","58","59","7","9"
"Feature0001",79458.5551783619,133211.617808272,92893.99225157,74753.3387339041,93620.9587356235,122904.645383169,71617.8096160718,81368.1169990068,86499.2499916462,77066.8044637435,100151.5755145,53518.1045628642,81885.8887851285,49717.4150604427,68417.032459565
"Feature0002",58192.1335213097,42686.831554509,3195755.01094007,471518.454469832,1622415.32092384,351304.830734113,1209244.17563513,271200.703207559,71910.5125375378,772056.677890036,118388.483017827,3905034.93130745,50671.5636744631,785379.248770882,457489.330240688
"Feature0003",286375.716541788,1133677.5936544,493431.09724451,70748.5460563348,378313.822721162,407415.860057669,257629.805649169,113289.671914055,83514.0059556391,175529.303166641,147854.775040935,140846.851171258,237010.739333597,252810.361060058,243740.707141716
"Feature0004",2412948.07039741,2514913.09955778,61310.8399427838,512317.239988999,65585.0657904128,75556.036189568,94399.4767985562,1630393.56979456,880728.567893054,576046.991251909,1846189.46595488,77004.2006900346,2424953.38349591,672193.935241198,90013.4947806385
"Feature0005",417047.388663757,520229.008214366,388186.908011805,268844.009551796,606447.598522557,759698.591898522,771050.797215182,292083.159087383,248455.755386673,257777.864337539,282102.494864902,730661.608959574,406083.329445417,334837.119944053,539312.699534842
"Feature0006",74881.1784246003,942099.389114096,41400.5302880365,61892.2177865851,77451.3456887925,54061.8152601948,53129.9023776319,139143.706954647,70993.3987087234,85026.3492108011,48318.4535440397,60372.4404510291,54292.0749473099,258640.336077134,90344.6924975544
"Feature0007",257511.247153545,303236.839353641,572572.004990165,394024.997995595,447645.256708581,449484.573878968,736346.798287587,277625.745553795,553113.644374439,258389.795647374,238661.436770331,401450.815240734,314360.749711134,164601.526549669,406972.538701858
"Feature0008",647595.249024667,791593.435934739,1338140.44750351,1266828.97553254,1034420.4854571,1053006.38977664,1302269.29995509,1311202.62037871,1451521.84009132,924118.911962972,841981.384376321,1394974.61604457,1100135.84347286,1024769.44272291,1200805.12130476
"Feature0009",219810.312018646,35109.3729422339,185694.280202884,54222.415173932,64862.3460768464,370482.186173154,228264.360943315,166127.896828004,251796.088500411,236702.61306237,134810.331957939,197471.66003542,119677.313177674,47532.6813369816,339809.713084362
"Feature0010",909346.532573799,528180.456556158,1192661.01439966,1013403.61203412,1108430.9152946,1135183.26399273,1476648.71155699,925588.702476606,595611.159898736,1212195.98789353,1170442.39622059,1417322.72982932,905069.660033957,1476994.99524284,1079166.80406709
"Feature0011",316279.407827177,291075.681952073,655327.009869821,475928.811617877,687275.061512341,756936.665863163,867525.76246432,313908.545196962,354029.741630083,829456.570739299,547864.964921879,540248.997558633,464257.482173537,837013.546916591,1140402.57372941
"Feature0012",87220.724193113,79562.5090149922,91113.1031835504,98787.3885847519,103068.4994994,119564.874836419,111714.58309813,90044.8423231196,352160.585921862,87905.0090037954,109093.159213496,76100.0396056371,60462.4126277131,87589.6427935621,125488.706148453
"Feature0013",1503824.78117807,1651515.02909179,644834.589761159,1373291.89606251,516497.534592796,1207093.0256271,1115170.33692871,1374310.69856948,1555258.42012172,1087411.67921501,2187973.5137772,734026.799022276,1339263.9066734,1084442.38185578,662516.013437693
"Feature0014",1172302.4996151,533351.675747049,2040495.50365048,1121738.8117078,2350456.18091979,2707787.40335112,3389503.6984555,1496750.07176825,294650.147475204,3597604.11286914,1662900.9800337,1658364.08869459,1267901.27527048,3838780.95129743,1873941.27811871
"Feature0015",735005.191366096,856980.777697357,1624678.43326007,387307.175118903,1302302.43382241,1498895.28777238,1519694.39776055,753967.920954703,85411.1313218935,1073890.38246285,836376.802870058,1197518.35967153,704751.920330577,1079402.43286109,1408058.79692178
"Feature0016",211150.244795351,185837.807136626,159867.308518107,228780.01117417,156522.29662816,173296.467959032,193834.728564409,218611.872706951,228302.358738875,236320.058123985,236721.60786892,175581.865144898,185885.553082324,210072.129232761,197551.638163274
"Feature0017",762720.665927454,1174668.07031942,858079.965368142,2859292.26182521,973849.346819502,1182605.4053746,2190607.40286195,1898832.17591504,2191590.39368586,2134733.81927839,3229768.46671796,1527941.30885209,1047108.7521868,2097069.4874502,1428459.28466435
"Feature0018",239193.306392336,1073537.04782971,582333.19778929,71694.9566325955,262692.323738374,235327.726317181,278701.781638409,63476.5654723507,111447.964236942,189949.359803811,125660.755211361,172761.8041651,343443.208375909,251894.095527231,295935.29696786
"Feature0019",1057531.07999119,652669.319519188,883681.419717316,1307540.14113772,482360.855447214,503486.852832485,748541.350358551,1266725.30679305,1241240.67342959,1392780.09996618,1000492.94743507,743109.082394455,1844263.33311847,1047172.01588498,598233.926962506
"Feature0020",119325.610779033,88946.6154816695,170120.988504944,137078.901364337,215890.487112012,270140.730808589,221737.611730892,111433.342049051,138073.767563858,155625.426974668,141699.766565124,168160.999519517,92661.4313113254,122619.132197113,303333.555124805
