FeatureID,name4plot,Formula,MW,Comment,log2FC,pval
Feature0698,"(2Z,4E)-2,4-Hexadienedial-peak1",C6 H6 O2,110.03674,Upregulated,2.2670214072983423,0.00991847570985236
Feature0404,pro-gln,C10 H17 N3 O4,243.1219,Downregulated,-2.3927202404406254,0.03815217127678965
