"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0016",18928811.71,113007552.7,74300781.61,56299811.21,91756579.8,12383070.86,61960716.26,119115663.9,88356641.36,16252221.75,10132789.58,84262088.53,116086195.5,121547855.7,100044885.7,112326509.1,9972278.863,11640006.16,19605773.23,16145186.63,17000184.18,67102604.38,15380059.96,226187306.1,92632849.33,118819645.7,15413754.37,19292885.71,20168496.74,8316895.089
"Feature0017",16569360.31,128323511,50490686.82,219406846,89434214.72,7231594.279,41266736.4,119132587.2,86302704.05,11693864.29,3810367.814,81323019.56,129057974.1,126127704.3,89607115.19,106074160.4,5751831.807,7408145.15,18480003.82,20206107.15,10772867.96,62398181.59,9753236.549,345545134.4,76118979.53,125764179.8,10698058.37,21785002.19,9390792.373,3603838.567
"Feature0018",6169660.472,60728458.72,55091110.81,1059823.859,55148436.41,1261326.683,26661817.04,38050391.15,41786340.56,3298202.609,542946.4251,31650898.13,41963373.12,59086818.52,32949993.62,60426927.11,852161.8723,516363.0094,7410700.537,5896774.641,4264502.299,25099424.51,1872239.274,26081095.62,26809359.61,62506067.81,577421.0737,7610354.764,6044115.986,381286.3191
"Feature0019",72192376.97,148122377.3,115629632.2,227447651.1,122286823.8,40618143.91,99327182.37,148568497.7,129374391.8,48080511.51,33599176.86,123073204.2,124941698.2,153363891,132729019.7,147239491.7,24430405.24,37352316.07,58302989.15,48166032.63,42120073.4,118461279,49135702.75,181911818.6,108849430.3,158334893.5,41503095.88,78108091.99,47129550.37,21675232.74
"Feature0020",12018584.17,2395861.076,1265072.973,29017930.63,487458.3398,3707803.896,410099.2731,525919.8998,4196916.389,8484508.701,4786557.073,2010924.672,5983756.961,497914.6613,15568222.56,3901576.164,2862456.453,5417293.808,9454342.728,9890800.044,5975174.645,396414.7676,10931318.3,5463546.603,1825683.673,1824844.021,4192789.489,12498024.48,8603708.611,2070790.54
"Feature0021",104946203.8,645955108.3,253135321.4,172007101,491029885.6,6975288.935,194983585.2,598196766.6,406606207.1,23365034.73,5922816.932,360659238.6,632565712,606016760.5,459379313.3,581265801.4,6965661.751,15737079.09,25105095.94,43245433.21,12786384.86,286955297.9,16382832.64,706644281.8,338689613.9,674142938.6,9679191.161,9652997.17,17335652.03,4084576.086
"Feature0022",837259.8111,1287461.828,1063585.934,793320.1193,1507805.599,1188543.023,1285847.383,773595.7254,1379257.244,1116645.144,907850.249,1445535.051,1651087.811,1553581.694,739430.3156,1567037.304,778914.5085,1002349.719,868699.5719,891793.9647,1115708.715,1540348.702,586038.172,3116266.599,894079.064,1486339.932,1116129.829,886512.478,1527450.722,722129.115
"Feature0023",1532943.402,68698411.37,50616588.04,1413803.79,84201123.7,445781.5402,31000475.52,66109851.08,53797282.92,416238.1254,601651.9002,39969064.72,80840062,72908970.35,79108545.07,88014505.04,1414043.834,1246020.833,213540.5835,190789.5311,158943.5798,1554651.411,359226.5731,3503687.349,51490474.3,45548285.84,453507.0183,352336.8179,744605.6558,942941.8971
"Feature0024",65379470.5,2696772.861,1836088.702,14371781.19,2393988.54,69762790.35,5748408.046,2935470.608,2289836.391,59927599.3,58048518.08,2455534.854,3288558.42,3172145.606,2194376.395,2696867.876,43012213.5,45698843.27,60997314.63,59260783.89,69435491.76,2038364.023,53979244.59,92413318.84,3458226.919,4526430.646,74384186.65,74865102.43,69416237.68,42811429.01
"Feature0025",257105.5204,272996.9603,256061.5041,252249.6745,265850.1134,258306.2107,250106.7283,260840.54,267723.2262,248088.8919,264683.5004,310999.6635,262567.1577,281095.0513,271622.0703,291191.5512,272988.7258,270436.7717,279065.8896,271482.969,283456.6746,272444.5172,264959.0236,265907.4191,262099.1785,261647.0241,253839.3492,241932.5362,276101.1317,254735.6184
