"","Area: 10","Area: 14","Area: 19","Area: 2","Area: 23","Area: 40","Area: 41","Area: 46","Area: 47","Area: 57","Area: 59","Area: 60","Area: B"
"Feature0001",18.0457183258436,17.7679305515382,17.264773017989,16.5710134455316,18.2247795232096,18.8269432847735,19.7701670972041,18.0014473233653,18.4799799538949,16.5421848695093,17.7072424519096,16.5073028737174,17.9266999132003
"Feature0002",16.709459427642,16.9442184251117,15.9297566039178,18.8895247949828,17.0927451950401,17.9838595399779,20.0460872339642,16.7916518455063,17.0691061765861,16.2806221891373,17.1210039249058,16.0152412402278,17.3770358604577
"Feature0003",16.5980096209927,16.8812232832624,16.1427550299828,19.0794656353965,16.992158482854,18.03244338123,18.9030204974886,16.6340107299275,16.8947908135902,16.3459587509325,16.9521629558486,16.0966573117263,17.2701866304323
"Feature0004",26.228097956446,25.6057887965207,22.8553897392419,21.7969107768867,26.6569870315543,21.5271705015387,21.7726566602184,25.2485266909731,25.0104777071454,23.2361604280545,25.7874854326903,22.6434284884808,23.9795286354908
"Feature0005",25.4747744361437,26.1309933779372,23.8206151568024,21.1746510483782,26.2850091748922,21.3102352421824,21.5485321007821,25.5782351083297,26.2908857120816,24.0763672651865,25.2933001893965,24.3911931707091,24.2759941689082
"Feature0006",24.2114030147278,26.2928525275454,7.22030106389416,15.5272507259245,18.8945234061525,16.6805100339719,17.519676761896,21.3510566655917,27.8047226155187,5.81533453715214,26.0797580079242,5.77143190909796,15.7229697569177
"Feature0007",20.7229236808609,23.9205084177257,13.3853286504837,14.898688475235,27.6146033194175,18.4822453269386,16.3270058926155,22.7540882511346,23.9606798117605,12.4868794551026,20.5616846094397,11.5530977429701,16.8013535152494
"Feature0008",25.2347565585536,26.2056081864686,23.7743168884461,20.5922877027501,26.6747123375293,20.8665948628625,20.7488458909015,25.0966357358115,26.4782938481437,24.4609772819543,25.3842747928789,24.7258145767036,24.1641258003773
"Feature0009",27.4980859639457,27.6302328846966,16.737281754348,16.7000668514778,28.0141289094525,18.2445062810372,16.7347971080215,22.9118477400249,23.7436245786995,13.1697876675058,27.5608562271036,13.5710875692123,21.0678861220622
"Feature0010",15.8593425088359,17.1258497347515,18.8335762621419,18.9825648960342,16.388030251361,19.2833724662951,17.4644329159337,15.9408336129531,18.1531962669596,17.2028927191662,16.3325066221898,17.1066564891416,17.5222682694617
"Feature0011",21.4740536627793,21.4509346785169,22.2854576626071,18.8249262676639,18.7514731239501,19.0492416116634,20.2204721827745,21.3026917347966,20.6698549435129,20.3605342833567,20.7925275533873,20.6297071081999,17.278382162155
"Feature0012",21.7539202561623,21.5127634946946,23.004406533037,22.8405432480482,21.4504204536219,23.1692269972721,24.9880846098446,23.1109817225389,22.6714307334735,21.4930214242105,22.6659949495389,21.5632595624235,22.3908209072051
"Feature0013",26.5510642319346,28.0168420383945,20.1831253879947,17.5488280147254,27.6826186734538,18.118729798781,18.0782503856511,23.6214704760042,29.2042604490427,9.71698958431687,19.9006373851563,9.77654672716774,20.7595281524204
"Feature0014",26.3430804710498,25.952292571271,24.7386151746908,22.5138380634566,26.5086482162207,22.5602838600204,22.6747018361797,26.5931130890544,26.620037835529,24.8166601924653,26.4047884983501,24.9307246179807,25.1307317325308
"Feature0015",25.6678663126666,24.9609125243053,22.8811126873019,23.5778130415701,23.9044445623115,23.4857186056977,23.8950211005862,26.6118547368552,27.289498558702,22.6820251171155,25.7658656720096,23.4401727014675,24.5400571177989
"Feature0016",25.6479461490888,26.4704577744118,25.532753546955,25.7908339634325,26.6350090519225,25.8712409213205,26.1225314538095,17.3066946821874,22.9210594284469,26.1028649060624,25.5362779107593,26.1951768158289,25.0851786718774
"Feature0017",28.0478055709111,27.6966497392896,19.9221310754101,16.1818573995529,27.6837197378333,14.5238424850896,13.9953239928818,28.9815172113395,29.411732334295,20.5242524644615,28.587901262516,20.8945033121043,22.8605089839593
"Feature0018",26.2381862883663,25.6512772440271,25.2602897330441,26.6277285690253,26.995590058744,26.9161334964841,26.9179962686092,25.9834738581413,25.5926644945444,25.2820074520255,26.3949426937578,25.3220283556008,0
