"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0012",NA,NA,NA,NA,88916807.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238562523.3,NA,NA,NA,NA,144845007.9,NA,NA,NA,NA,205425623.7,NA,NA,NA
"Feature0013",NA,NA,NA,NA,NA,65715906.58,74883510.2,NA,NA,NA,NA,NA,NA,85653698.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70686771.67,NA,NA,NA,NA
"Feature0014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59659588.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62333083.06,NA,NA,NA,61110160.63,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0015",NA,NA,NA,NA,NA,NA,NA,97047887.47,NA,85741536.1,NA,80353230.4,NA,NA,NA,NA,77239820.56,NA,NA,71916127.71,NA,NA,NA,NA,85882196.16,NA,97923100.44,NA,82286121.59,NA,NA,NA,NA,67709881.14,70061324.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,171293219.3,NA,81485398.23,NA,NA,82396604.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0016",NA,NA,NA,NA,NA,NA,NA,113007552.7,74300781.61,56299811.21,52868223.79,91756579.8,NA,NA,61960716.26,NA,119115663.9,57423794.32,NA,88356641.36,65441786.39,NA,NA,84262088.53,116086195.5,NA,107643536.4,62152487.57,121547855.7,NA,NA,NA,47928818.08,100044885.7,112326509.1,NA,NA,NA,NA,NA,NA,67102604.38,NA,NA,226187306.1,NA,78706100.32,NA,92632849.33,118819645.7,53343923.06,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0017",NA,NA,NA,NA,NA,NA,NA,NA,NA,219406846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279971337.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345545134.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0018",NA,NA,NA,NA,NA,NA,NA,60728458.72,55091110.81,NA,NA,55148436.41,NA,NA,NA,NA,38050391.15,NA,NA,NA,NA,NA,NA,NA,41963373.12,NA,NA,NA,59086818.52,NA,NA,NA,NA,32949993.62,60426927.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62506067.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0019",NA,NA,NA,NA,145528819.6,NA,NA,148122377.3,115629632.2,227447651.1,142635956.6,122286823.8,NA,NA,99327182.37,NA,NA,160419079.8,111795046.3,129374391.8,162364878.7,NA,NA,123073204.2,124941698.2,108328325.6,195251724.2,176614400.5,153363891,NA,161111588.3,NA,107054809.2,132729019.7,NA,NA,NA,NA,NA,NA,NA,118461279,NA,NA,181911818.6,NA,235077665.7,NA,NA,158334893.5,116333494.6,137568297.2,NA,NA,NA,115665620.1,NA,74012130.3,NA
"Feature0020",NA,NA,NA,NA,NA,NA,NA,NA,NA,29017930.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23182825.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0021",NA,NA,NA,NA,NA,NA,NA,645955108.3,NA,NA,NA,491029885.6,NA,NA,NA,NA,598196766.6,NA,NA,406606207.1,NA,NA,NA,360659238.6,632565712,NA,NA,NA,606016760.5,NA,NA,NA,NA,459379313.3,581265801.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,706644281.8,NA,457689656.3,NA,338689613.9,674142938.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
