"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3809459082896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5947377230436,0,0,0,0,0,0,0,0
"Feature0257",0,0,0,0,0,0,25.5093064002591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8926256391583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3878520897088,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0258",0,0,0,25.6384257731251,0,0,0,25.6263400775569,26.5613795665433,0,0,0,0,0,0,0,0,0,25.6934127023518,0,0,0,0,0,25.5383412112116,0,0,25.9230884517937,0,25.5480989678597,0,25.5679466110293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4731890759477,0,0,0,0,0,0,0,0,0
"Feature0259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.597701157252,25.9193650847139,0,0,0,0,0,0,0
"Feature0260",0,0,25.1904594452478,25.9752819933894,0,25.8239651546581,0,0,26.2377007572969,0,25.83868107139,0,0,0,0,0,0,25.7932310535162,25.7085107045393,0,25.3814562360295,0,0,0,0,0,0,26.5245930938262,0,26.2614679514527,0,26.0406864156465,25.1310456575681,0,0,0,0,0,0,0,0,0,0,0,26.2210842572661,0,25.7668102473075,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8489201791512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9149926800079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0263",0,0,0,0,0,0,27.0905961365608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0264",0,0,0,0,0,0,0,0,0,0,27.6893276272807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0265",0,0,0,0,0,0,0,0,0,0,0,0,0,26.3251436326507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8896334521763,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2222746545077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4701444121846,0,0,0,0,0,0,0,0
"Feature0268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4718835766898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0269",0,0,0,0,0,27.0446299147827,26.7853930085544,0,0,0,0,0,0,0,0,0,0,0,26.2900998171331,0,0,0,0,0,0,25.9061287679758,26.0516489975705,0,0,0,25.8989504313447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0499026619554,0,0,0,0
"Feature0270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4365934809315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
