"","11","13","19","26","29","35","37","4","49","51","52","56","57","60","8"
"Feature0001",10473617.2567928,13394064.3819334,11470837.1315851,7308419.32388841,6804472.13436448,6791280.24561807,13545434.7367835,6655673.65088974,23354022.5053696,17952213.8720517,9224079.28836113,7121170.93048679,8375396.34866693,3782694.43024178,13881242.4246877
"Feature0002",16281398.892399,18489890.8553816,14161015.8631129,14983111.1401146,13999835.7624497,12735278.2773123,14172530.0516145,13413411.8623068,13874527.9283734,17770052.4413595,12645542.794381,17086639.9674257,22119638.9239615,31624489.7917035,16346278.3242886
"Feature0003",25409963.4484245,27441431.9982525,19926884.7494254,16909854.6059566,15814066.9552847,12848089.4847292,16772700.0517591,19635792.7527094,18170618.3631641,25886575.7378742,14996686.6157173,16930326.6768752,16393733.3064459,25383672.8068793,20121733.2225075
"Feature0004",205012596.218193,284013090.171905,268378057.552532,253093911.05426,266426132.074867,208150721.633367,176620233.09895,289385646.253591,127239411.965265,212106180.692375,224157245.656377,236473302.858441,298793902.605012,410624020.746862,259781399.129648
"Feature0005",8940066.53937673,6630088.50929047,8383508.56884212,5724404.25481307,6408136.10874631,5052508.77545196,7252984.11378585,8365817.15719082,7512538.84970692,8431432.04885662,6240298.88537184,6257343.75194348,7801238.31688037,11405098.8050763,8516788.52216595
"Feature0006",6107152.25692814,6544799.48331637,5821381.90344775,5933248.31438169,7064724.04414864,4877978.43456,6581806.79520974,7309095.98164072,7148617.05705294,5356329.11254427,6465680.01003265,4517396.36410906,7836663.6078906,6075519.83535488,6999340.54920672
"Feature0007",6359868.28065849,882656.637537877,609889.446996444,11339829.8797601,12339209.993392,16888338.2221831,679502.968925435,49296449.0059801,1523990.75111203,1090274.0936064,2707701.68804899,550924.584292331,565980.961301771,945264.073656777,778603.442364033
"Feature0008",22654113.1814176,23189758.2759059,17422840.3370527,29097770.0717404,28275901.9453997,30569318.5269175,22071114.5012037,20745668.9238483,28000766.5616914,25894034.1589798,17505261.605598,25504880.9030158,21454042.4363448,31974579.7737704,22431026.3791804
"Feature0009",4676462.57944546,3727008.16499135,4385802.77158725,2287375.65334214,2236393.01514432,2113179.05279359,3570046.37569289,2889586.6243934,3481060.68889041,5186388.51821184,2142648.77770484,2738776.76881166,3423802.98536284,6887183.32708247,5569854.2393705
"Feature0010",5084586.93132749,30817917.2553723,31240749.5706658,49109837.8695989,37884642.6740045,23427085.5021296,22271460.1251839,66190300.0061581,4369527.96283349,5212953.11262777,54961840.5207352,50452143.4573954,27149916.5748006,23014197.2202394,44040787.4691071
"Feature0011",117349055.592854,783918450.030966,974970844.983667,834879467.890264,1921387987.70692,1075669092.38054,130922494.898293,814178698.905269,90337463.1407112,138340729.159145,1358409633.56914,895554994.944683,613201186.054256,374147414.094094,884490905.476886
"Feature0012",1474269.7169036,1536120.59781464,1190030.27697444,3438031.52120084,2806207.5098103,6272805.10346847,2125745.64991202,2530964.85731869,1064209.39283445,1348294.67887898,1461934.01631964,1012740.01774678,1654165.82984352,996644.65867112,639058.810191608
"Feature0013",267261932.234806,485810136.948897,380280050.413532,511774781.028731,422763365.099666,397147513.204982,301156358.975729,769950971.634472,405104157.669254,297071486.626834,427389069.865326,328495415.989184,288433520.524792,404911366.780894,296388844.65476
"Feature0014",16998931.7131742,34373025.5330766,40355616.9874706,38178884.0610605,55181793.3895016,44587179.3702819,14033099.6638993,35141538.008668,179850368.463854,11993928.1185772,93694535.9884763,43408736.8729695,10664682.5597729,14345824.3106317,59369631.47638
"Feature0015",5281127.49577988,4964775.81610391,3962046.71508622,3878217.59889126,8827748.679715,795296.047792799,4132010.34566815,3558647.76647873,3728141.67798834,6083044.11101228,6229358.41881113,1918056.40386355,5059087.06992322,5988769.66643056,7505214.76986261
"Feature0016",1213615422.11008,1057739563.83003,1019446194.82008,596720678.488903,773582589.178648,524888766.050732,808640279.481159,592495442.861987,16105479.0677246,1245993230.12588,748417062.524971,706960309.822789,1124697220.94924,1530648435.82816,1097191431.17376
"Feature0017",144113.387294705,59371.3260666295,32992.6104123685,47103.0967608787,71229.7617802289,47388.5175237768,55862.4806401364,44254.8268614278,66846.523090747,72060.2198019634,34333.9209849148,62089.7329525082,40243.1344380244,49419.5891154148,49779.2522929246
"Feature0018",1434775.78556323,1591719.45788445,1756923.42681644,2058563.22499813,2445611.01195562,1629609.22583264,1140403.4734919,1994137.98758734,1213229.02402037,948278.303063077,2109771.26937517,1752518.21192951,137924.073992042,1745237.77921607,2009259.71768595
"Feature0019",7455021.24900345,8954166.61124767,8798120.11925406,9328022.97426762,12526914.5184571,8916264.1338071,8199921.34105099,13594921.0709304,6218842.30009858,5596573.33858023,11037049.4141819,9160678.53007376,11586447.5555228,15390484.4681587,6461875.83784145
"Feature0020",3040597.29677099,2562670.07688206,3093171.62203301,2470901.50407762,1858162.3949469,1907816.9486482,2999352.76117702,2848307.95831999,3048030.45059395,3382988.45883826,2588699.55834074,3584231.02773082,3602185.80542387,4823052.6897554,3059109.57196704
"Feature0021",856978.982234398,647790.895444297,725409.206514413,554443.129574579,693070.397043237,815896.278962324,614060.264879054,830491.113928534,708544.688654464,479906.734682064,839554.917091442,466051.32040682,1144992.52784252,719189.055258443,1126619.54562217
"Feature0022",99411.4010542516,49421.530400201,40913.128428489,44708.6878737039,44672.8261064829,34406.8152644737,49081.990587785,26547.0905216168,51276.8855229319,68596.6379580571,25991.2924361278,24036.4044878372,32835.1668738349,53067.1790263368,31846.3622317324
"Feature0023",644413.68039237,141616.968891132,99889.104748374,126408.631838457,162111.598673325,105258.991794183,105669.861538715,86449.4177501028,151246.20610186,171130.064671865,77275.5065720765,392552.580713303,320603.494891916,672934.388071988,79035.2424538763
"Feature0024",166794.961429534,295041.602236802,229724.585327438,194710.138767808,268019.560685179,149214.08837959,92889.3851550277,182076.227322282,119136.943533247,126410.762524096,74376.5182659981,170765.35086721,228837.473472956,120945.758488833,208571.755604073
"Feature0025",24353314.7512773,10068168.6824516,480115.143632339,6020590.87076298,9355334.67144805,9329609.96381972,23434239.3114342,898989.72740305,16157746.7911809,21220977.5025647,8914445.82374663,9096580.85711924,9419291.74676394,16308131.7177068,2364533.70682591
"Feature0026",168555.580982171,153679.173160244,234053.628286312,138714.608570687,161032.459747069,139709.335051188,220883.299445546,602667.771797561,84566.3179012852,156487.603508753,238308.080914571,355283.766277177,291097.252906834,275996.366767579,201275.816927039
"Feature0027",117285.191737583,70332.3119525367,211221.12905985,81374.1597811801,77223.5851593845,63287.3503718604,49249.8673968419,81117.7509167235,179670.058569268,81004.4024753392,63956.1404200351,35889.8125774993,104216.021692662,111403.20325369,54093.0381458752
"Feature0028",31669736.6195571,4978036.61310905,3590024.64516897,8397872.5224974,19058146.8730416,13145686.6300768,16250853.731114,4171447.79747999,23017402.3238098,18409970.0308076,14058839.3752867,12298798.7648185,17375569.9684822,26544012.346226,3687616.13760582
"Feature0029",436256.525276573,555151.519521214,606619.10318084,516595.161729125,398143.481456375,634997.597893188,226741.061415605,305952.548505647,4412436.42700324,287170.364950423,713095.128373458,892040.333506359,276682.353745421,669676.714123612,928009.960639449
"Feature0030",4060006.63881224,3272017.64964199,1064549.68971017,2697514.58411968,2953676.66473971,1806800.9500812,8765014.82941978,713508.299558944,3507540.84460838,9705308.91121804,3116487.78183204,778160.674823796,3152639.53,1014191.72551943,2346000.08980263
"Feature0031",668234.93059077,870823.312054459,906660.238205142,1057641.89039836,1560372.55856257,1318891.37930594,573021.788836712,1743102.91366687,835313.354422407,716311.431747836,1421331.58167241,1527509.66950435,1031461.59102316,1204431.51179844,831262.663923758
"Feature0032",1194826.04368313,2060669.0319126,3897617.9642387,1811901.98457416,2188382.31826043,3287036.97864526,2507065.35275918,3081510.37169361,3407150.0596193,2269859.17229441,3441355.84046687,5228274.72060325,2219173.31900564,3306260.54375982,5513951.68107828
"Feature0033",12331929.8576103,10483639.9846805,11563366.5168863,21550091.7740052,11560879.905704,10218260.1253484,8536112.2961062,27409766.8230336,6757722.04658316,9085844.80124217,11409716.2025531,10016089.6132131,11587656.7580941,16609079.9685405,8677880.08517064
"Feature0034",14861979.5847541,1464202.4693209,389738.393504414,3470755.89689324,2176592.76194449,7393302.63929115,4650807.45267129,618797.238558529,31680693.0390988,5817405.75503181,3707271.92628905,3049312.62221291,12811225.5611653,34080423.4243131,1666437.01761066
"Feature0035",22342457.557551,13074273.8196623,14275489.21712,13888684.1754223,14889468.1081418,11424032.1435113,14125238.1832803,11350990.0900949,15664564.5852686,20692741.7079661,8678604.61062591,11493454.2916809,16260061.9696709,21276516.7825345,14339686.3610027
"Feature0036",5251690.93360775,3223277.58092895,9080777.31329386,6919979.28315498,9873153.50051199,6171519.52499123,7867287.68157022,9303242.60091322,3443041.39264345,2942519.6294436,14659317.5269776,14016938.2540369,8244018.16131638,3046171.5169841,6480511.92396308
"Feature0037",13113583.593469,17208757.8444825,12162156.785412,16467646.4889225,14509228.2102325,13326926.3653388,13451504.7845868,12407580.6856065,12129433.1582419,15690346.7665752,12361500.4094361,10372876.7113729,12924400.4004685,17104395.6038631,13467271.5345923
