"","10plus_RP_pos_MS2","11plus_RP_pos_MS2","12plus_RP_pos_MS2","13plus_RP_pos_MS2","14plus_RP_pos_MS2","15plus_RP_pos_MS2","16plus_RP_pos_MS2","17plus_RP_pos_MS2","18plus_RP_pos_MS2","19plus_RP_pos_MS2","1plus_RP_pos_MS2","20plus_RP_pos_MS2","21plus_RP_pos_MS2","22plus_RP_pos_MS2","24plus_RP_pos_MS2","25plus_RP_pos_MS2","26plus_RP_pos_MS2","27plus_RP_pos_MS2","28plus_RP_pos_MS2","29plus_RP_pos_MS2","2plus_RP_pos_MS2","30plus_RP_pos_MS2","31plus_RP_pos_MS2","32plus_RP_pos_MS2","33plus_RP_pos_MS2","34plus_RP_pos_MS2","35plus_RP_pos_MS2","36plus_RP_pos_MS2","37plus_RP_pos_MS2","38plus_RP_pos_MS2","39plus_RP_pos_MS2","3plus_RP_pos_MS2","40plus_RP_pos_MS2","41plus_RP_pos_MS2","42plus_RP_pos_MS2","43plus_RP_pos_MS2","44plus_RP_pos_MS2","45plus_RP_pos_MS2","46plus_RP_pos_MS2","47plus_RP_pos_MS2","48plus_RP_pos_MS2","49plus_RP_pos_MS2","4plus_RP_pos_MS2","50plus_RP_pos_MS2","51plus_RP_pos_MS2","52plus_RP_pos_MS2","53plus_RP_pos_MS2","54plus_RP_pos_MS2","55plus_RP_pos_MS2","56plus_RP_pos_MS2","57plus_RP_pos_MS2","58plus_RP_pos_MS2","59plus_RP_pos_MS2","5plus_RP_pos_MS2","6plus_RP_pos_MS2","7plus_RP_pos_MS2","8plus_RP_pos_MS2","9plus_RP_pos_MS2"
"Feature0011",NA,NA,NA,NA,NA,NA,91879125.83,NA,NA,NA,NA,NA,NA,NA,31758502.76,NA,NA,NA,NA,NA,NA,NA,2985721.534,NA,NA,NA,54049675.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52885634.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0012",NA,NA,224852715.5,NA,NA,64320299.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0013",NA,41939295.08,NA,42938066.44,NA,NA,NA,NA,NA,50901307.57,NA,NA,NA,NA,NA,27411365.41,NA,NA,21227314.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23070513.06,NA,NA,43435931.58,36562220.93,NA,NA,NA,30196710.11,53404748.68,NA,NA,339130.9567,NA,NA,NA,NA,NA
"Feature0014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6069764.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25229025.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19152524.28,NA,NA,NA,NA,NA,NA,NA,NA,3376769.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0016",NA,NA,NA,NA,21677333.07,26325426.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1834261.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983974.58,NA,NA,NA,NA,NA,NA,NA,NA,23476289.95,NA,NA,NA
"Feature0017",NA,NA,NA,NA,NA,NA,41402067.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22311527.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0018",NA,70963734.01,NA,101305641.1,NA,NA,183079147.9,127512194.8,NA,133224265.1,NA,NA,NA,NA,20298067.99,218842945.3,NA,11045983.08,154222949.1,NA,NA,17206884.56,147633025.5,NA,NA,5300270.227,174218179.2,280438806.2,NA,NA,22090161.23,NA,164775011.8,NA,NA,NA,NA,NA,NA,31853351.51,123271948.2,67002712.14,158865626.2,230231462.2,64632306.46,NA,10773959.98,170951675.2,210247988.4,157112391.9,NA,NA,15218358.83,NA,NA,NA,89606254.45,NA
"Feature0019",NA,NA,NA,NA,NA,NA,NA,NA,NA,55184813.47,NA,NA,NA,NA,NA,NA,NA,NA,13155752.77,NA,NA,NA,NA,NA,NA,4884904.787,NA,18406831.02,NA,20919509.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29580259.73,NA,NA,NA,19354515.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0020",NA,19427578.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118176.9979,NA,NA,NA,NA,NA,NA,NA,NA,154942.8349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98278.72493,NA,NA,NA,18487423.15,NA,NA,NA,NA,NA,NA,NA,135086.3951,NA,NA,NA,18451527.08,NA
"Feature0021",NA,NA,NA,NA,NA,81792635.36,NA,NA,NA,NA,NA,NA,84950686.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0022",NA,NA,NA,NA,45484805.94,61635917.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5616917.242,NA,NA,NA,NA,NA,NA,427806.2076,NA,NA,NA,NA,4554988.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,36229211.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51923096.07,NA,NA,NA
"Feature0023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65159505.3,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0024",NA,NA,NA,NA,NA,NA,NA,NA,20908979.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145526.6785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16188377.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23792187.76,NA,NA
"Feature0027",NA,NA,NA,NA,NA,NA,NA,32077723.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0028",35336946,NA,NA,NA,34878788.28,37286028.39,NA,NA,33861017.55,NA,NA,NA,31862595.47,NA,NA,NA,2366345.491,NA,NA,NA,NA,NA,NA,10939328.84,NA,NA,NA,NA,1487533.087,NA,NA,27419377.02,NA,NA,NA,13737087.67,NA,NA,23201338.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16772457.37,NA,31266928.04,27453359.87,27508910.96,NA,NA
"Feature0029",NA,28139189.04,NA,31908661.06,22440140.62,NA,NA,NA,NA,36618678.05,NA,NA,NA,NA,NA,29917547.61,NA,NA,24513422.36,NA,NA,NA,NA,NA,NA,21194965.08,NA,31073281.92,NA,21876037.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33724782.77,16550356.11,26904930.97,NA,NA,NA,NA,22154782.56,NA,NA,23191693.14,NA,NA,NA,27905642.71,NA
"Feature0030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25663987.65,NA,NA,NA,NA,NA,NA,371930.2042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833511.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0032",NA,NA,NA,NA,NA,NA,NA,NA,46060772.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25051404.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0034",49729943.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24103549.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38857431.79,26688292.93,NA,NA
"Feature0035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49563824.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32669021.12,NA,NA,44750581.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130507366.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588319.7635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51181847.65,NA,NA,NA,NA,NA,NA,NA
"Feature0038",33837166.2,NA,NA,NA,NA,NA,NA,NA,40827542.7,NA,NA,NA,NA,NA,NA,NA,11250398.61,NA,NA,NA,NA,NA,NA,16678469.5,63096189.12,NA,NA,NA,17469357.41,57125288.28,NA,NA,NA,NA,NA,NA,32412452.66,NA,19782442.13,NA,NA,NA,NA,NA,NA,17514272.18,NA,NA,NA,NA,NA,NA,NA,29856541.21,41705441.32,NA,NA,NA
