"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0079",19.591512234799,0,0,19.2377206259404,0,0,0,19.3689807744589,19.5854904079252,19.689553931456,0,0,0,0,0,0,0,0,0,0,0,19.7347027005256,0,0,0,0,0,0,19.6656036097101,0
"Feature0080",0,23.8935766878209,0,0,0,0,0,0,0,0,23.840526044573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0081",0,0,0,0,0,0,0,0,28.4470119420293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0082",0,0,0,0,0,0,0,0,0,0,0,0,0,21.6927136201109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0083",0,0,0,0,0,0,0,0,0,0,0,25.9736891642807,0,0,26.0436436941108,0,0,0,0,0,0,0,0,0,25.8847895011744,0,0,0,0,0
"Feature0084",16.9983957825302,0,0,17.1510536725776,0,0,0,19.6762987719285,17.1463368463164,18.396524416804,0,0,0,17.382876061874,0,0,0,0,0,0,0,17.1918215152394,0,0,0,17.064081734673,0,0,18.6364446757522,0
"Feature0085",28.5225877392074,27.456943051697,28.0885109174706,28.7194804797908,27.6587518969116,28.333703389393,27.9270515074269,27.4233662778993,27.3227266161547,28.5514866027974,0,27.2323719774522,27.5605517651408,27.4559222181865,27.3142099373426,27.796239512102,27.9261655353376,28.3034557346152,28.3401957346208,28.0616916818135,28.5972129104122,27.2171155950337,28.5940967993524,27.4587318133458,27.0575658752758,0,0,28.7709698514838,28.7014533640463,28.1207110887152
"Feature0086",23.2506149236063,0,0,23.009770977463,0,0,0,17.8552552591225,19.3265110922534,23.6574019616257,0,0,0,18.5454793067224,0,0,0,0,0,0,0,19.2639593944198,0,18.7795348054343,0,19.7100737010812,0,23.0699724698105,24.0175460671691,0
"Feature0087",0,25.7622770071596,0,0,0,0,0,0,0,0,25.7184406641084,25.560249675276,0,0,25.6425183191228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0088",0,0,23.3324930811505,0,25.045574537167,25.613270765487,24.0956630275269,0,0,0,0,0,24.9128668705582,0,0,0,25.1683379011039,25.6202800112235,25.9461661109217,25.6733357607884,25.594510351606,24.1726099187224,25.8476979855262,0,0,0,25.4955812582016,0,0,25.3342288715155
"Feature0089",0,0,25.2835104439764,0,26.1895614293847,24.9859604600027,0,0,25.6405181005814,0,27.110779779704,25.5790782052786,26.207514296888,0,25.7167558901199,0,0,25.1995954494096,25.5918010274646,25.4241733574545,25.0509664582151,25.4866117639589,25.5102670039114,0,25.6184245495938,25.7322345103969,24.8501335577261,0,0,24.7453074493395
"Feature0091",0,0,0,0,0,0,0,0,0,0,0,0,17.7564370844228,0,0,0,0,0,0,0,0,0,21.0896447438845,0,0,0,0,0,0,0
"Feature0094",0,0,0,0,0,23.0191244822807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0095",0,0,0,25.9158581817816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5670517040288,0,0,0,0,0,0,0,0,0
"Feature0099",0,24.1654850463608,0,0,0,0,0,0,0,0,0,23.7573111429538,0,24.4176852975096,0,0,0,0,0,0,0,0,0,0,23.8974717848313,0,0,0,0,0
"Feature0100",23.3125952384531,22.4941084211949,0,24.7484444568882,0,0,0,22.9369654577512,23.509284480205,24.0920033325534,0,0,0,23.6127952875963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.437892442861,0
"Feature0103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5878252165519,0,0,0,0
"Feature0105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9455487400195,0,0,0,0
"Feature0106",0,23.9312395941785,0,24.3523668302797,0,0,0,0,24.2274387569428,0,0,0,0,24.3544528456573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5280949008111,23.822573947194,25.4573330974496,0,0
"Feature0108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0980712815549,0,0,0,0,24.8023991386002,0,0,0,0,0,26.2769246977701
"Feature0109",0,0,26.0304706310125,26.9977210198663,26.9060073607079,0,0,26.974073275054,0,26.5721066797631,26.7356707586657,26.3923218365207,27.2460144963055,27.0375020470026,26.7769780581906,0,0,26.2646367697527,26.6109389062512,26.6403505593932,0,26.5345103916248,0,0,26.7108219912841,26.7866489673814,0,0,0,26.1520979022332
"Feature0110",27.6061046252229,28.2617622519857,0,23.059568830645,24.3202664319032,27.3478161231091,27.9338480997581,28.2894112875402,28.1219624515783,27.7826614806491,27.8158722329033,27.8690831600385,28.3560298728531,28.2736638491708,28.0158638835397,28.4159026619764,27.1760140396275,27.3227721330901,27.6267096982874,27.689505608748,27.3166118413532,27.9995561719187,27.5849719206657,26.6931666942991,27.8676257503575,0,0,0,27.7824142115158,27.2247057237743
"Feature0111",0,25.8887643843031,0,0,0,0,0,0,0,0,27.0611941207907,25.8280159207158,0,0,25.7640893598915,26.7388573184452,0,26.0693333551734,0,0,25.4676059607197,0,0,0,25.8873547538966,0,25.5114947752168,0,0,0
"Feature0112",0,0,0,0,0,0,0,24.8102495224692,0,0,0,0,0,0,0,0,0,0,0,0,25.4992617428675,24.911884621327,0,0,0,0,0,0,0,0
"Feature0113",0,0,22.6053085676398,0,22.2017953478264,0,0,0,0,0,0,0,22.3148443130666,0,0,23.5808789833173,26.2569310952575,26.3581555611074,27.7820331900034,26.9767467250823,0,0,27.3547631530013,24.7410304347745,0,0,25.906447122699,0,0,26.0413530510895
"Feature0114",22.8520771017144,28.3671316801355,0,23.3686215021109,0,0,0,28.5832918104613,28.5464091366218,22.9320738266681,23.3148833707927,28.2973200895024,0,28.6899870777189,28.5217051298534,0,0,0,0,0,0,28.0822841135562,0,28.0807111699298,28.454004770255,28.5600938529911,0,22.8107170566306,23.0256573495527,0
"Feature0115",29.2766239948079,29.7643481564378,28.8185548412062,29.1156368311333,29.691386020349,29.3613801665816,29.1704336476884,29.7464354078524,29.6325133334007,29.785951942562,29.3131564194724,29.2713906328863,29.8501144593079,29.6531296630426,29.5760667219982,29.7750257170294,29.1980732505309,29.2434124307811,29.7939520221207,29.904507782422,29.4667419835103,29.0060325907898,29.670375898748,28.2295737408825,29.1968067809688,29.5895655298377,29.5816473558154,29.7279995221053,29.1992161420564,29.0602874743705
"Feature0116",0,0,23.9188586270378,0,25.563353282093,25.1642700252757,0,0,0,0,0,24.3681658464752,25.0026574743901,0,24.5504478391332,0,0,25.1050512079321,25.2684395880297,24.8399007749735,25.1983838703553,0,25.1607118232622,0,24.2652914485458,0,24.8129153768747,0,0,24.9261196938595
"Feature0117",0,0,25.1615688530535,0,24.9104594877766,29.8748899730156,27.2040307973172,0,0,0,0,0,24.502673222208,0,0,24.9006327271529,29.6381298659222,29.4218083737807,28.9275916002107,28.6573228518064,29.6572339849046,0,29.1406366879425,0,0,0,29.6896604769444,0,0,29.794143231699
"Feature0118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3538214180674,0,0,0,0,0,0,0,0,0
"Feature0119",0,0,0,26.7919826836968,0,28.2806449481212,23.8617291587208,0,0,0,0,0,0,0,0,0,27.9071081881493,0,0,0,26.1711125763036,24.3342435384884,0,0,0,0,27.3819639848851,0,0,0
"Feature0120",29.301905294925,28.8268461785182,28.9864945522603,27.495201668083,28.853433916132,29.4747754184627,29.7096106077353,29.0397904274911,28.8860071007692,0,29.3205886436052,29.1542380719853,0,28.9931187839914,28.8692834671847,29.2182212454264,29.4876434498128,29.4072519613549,28.8645893799588,28.5876001128851,29.0881689582272,29.1487875910151,29.0249590512288,30.1147265298862,29.2981001785588,0,29.4591896325914,28.5971834513643,29.4495435804269,29.3305934733476
"Feature0121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2186735164255,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0122",0,0,21.938221240049,0,0,0,22.4233156043207,0,0,0,0,0,0,0,0,24.2592426145819,0,0,20.6001679472296,0,23.9169192075842,20.8734094282936,0,0,0,0,0,0,0,23.6115607078139
"Feature0123",0,0,0,0,26.2056550451661,0,25.7660265554961,0,0,0,0,25.9097498777011,0,0,26.1396091775981,0,26.1551654536406,0,0,0,26.1676155295795,0,26.2448825680186,0,26.0856659825664,0,0,26.3232279324417,0,26.4905778559504
"Feature0124",30.1328888947131,29.3043462149422,29.3624395975145,29.801615317209,29.5924568684564,29.6411653466241,29.3524961889654,29.4639138775839,29.4978717622613,29.7307414882664,29.6632829302909,29.0684404903154,29.3309872351257,29.3280706477043,29.4165796492862,29.3144071053632,29.2138658743123,29.1802312214579,29.5501406830532,29.3657173005831,29.7722777511342,29.4510037168329,29.505214969736,29.8198987033196,29.2754496825158,29.2635456844425,29.6218605636134,30.2713879495888,29.090063948369,29.5935533406609
