"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0030",NA,NA,NA,NA,NA,NA,NA,NA,25663987.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0032",NA,NA,539035.1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0034",NA,NA,NA,NA,195708.8534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26181849.61,NA,NA,NA,NA,NA,NA,14931292.67
"Feature0035",NA,NA,NA,NA,NA,31576214.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32669021.12,NA,NA,44750581.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588319.7635,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0038",NA,NA,18405553.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,16678469.5,NA,NA,NA,NA,NA,32412452.66,NA,19782442.13,NA,29856541.21,NA,NA,NA,NA,NA,NA,10970689.1
"Feature0039",NA,NA,NA,12041398.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31944963.25,NA,NA,NA,NA,251157.5021,NA,NA,NA,NA
"Feature0040",64442899.93,NA,12529513.05,NA,11253965.32,4306215.229,NA,10788708.43,NA,53185018.61,NA,NA,12950635.79,14169868.22,NA,NA,NA,NA,72102644.76,62538351.55,NA,13860982.91,65359343.28,23530445.47,NA,NA,NA,62354976.5,53124711.33,6947940.848
"Feature0041",NA,54421513.71,53849529.9,68233982.49,46999898.43,51144092.4,44702205.93,57447149.2,NA,66043936.24,46260685.79,48049063.86,56990479.41,NA,52175261.63,NA,35454993.16,51081038.4,74202769.16,71223054.13,66381072.48,NA,68619153.48,NA,45352607.42,NA,50195628.18,NA,NA,33698933.26
"Feature0042",27207280.78,NA,NA,NA,NA,93174407.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,436627.2155,63322726.71,NA,NA,NA,NA,966719.6287,54208331.58,NA,NA,NA,NA,NA,NA,NA
