"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0044",5579267.7,4862020.019,5441627.695,29262931.83,16458588.76,31802196.73,62814835.17,60767366.42,58642409.8,52885965.48,46518679.7
"Feature0045",21650524.74,12482912.31,16186198.45,31951044.7,30833163.95,42493924.48,62367612.27,63627888.71,9287883.635,4304475.131,9445864.379
"Feature0046",2674153.406,2727583.284,3860507.58,282936.8247,205882.7214,11512548.05,2296186.574,418569.2506,2827816.666,64748446.95,40489030.66
"Feature0047",1117176.432,779667.6719,664288.4893,50841393.41,45028369.28,57911674.19,43274004.33,65478042.77,4333239.236,3798152.193,3654184.187
"Feature0048",21687539.69,20562231.34,23835444.1,4249492.022,7981288.094,23254385.63,5170240.62,65560797.29,50339932.46,52931546.73,28410726.73
"Feature0049",359073.0824,139542.3142,369852.9425,20067406.12,4716194.531,1236488.657,65633475.49,35435755.24,238813.3778,313174.4092,350674.6118
"Feature0050",312976.3334,382215.4835,324372.7558,294344.949,377199.2858,2786248.311,65814775.49,45273637.11,388255.7462,354233.5345,248080.4193
"Feature0051",288042.0613,50448575.32,66501728.39,6810829.892,8251207.011,560434.9851,35415325.12,19266134.5,52184302.36,2046385.185,116697.9446
"Feature0052",67066960.09,53664655.63,65090163.27,2855971.11,1850009.226,1846417.196,2018042.597,1467362.248,31902034.23,29133210.08,26305538.07
"Feature0053",65112956,55642171.7,67638650.96,940065.2739,537380.7385,1402873.471,979051.5762,1001447.401,10828815.43,8764677.957,9433929.369
"Feature0054",3391940.145,2576414.236,3249467.559,36036969.25,23193807.19,38622022.24,33248068.12,67659207.66,3404074.117,408808.2621,13757767.68
"Feature0055",263633.2796,361888.8255,638448.8713,465087.4338,441501.6949,429417.6068,288864.089,420436.3337,7080600.843,68458623.59,43526331.78
"Feature0056",3214934.09,52752558.68,68856286.42,45698602.28,42712880.15,2026977.716,26982081.41,5903422.282,19449465.06,374402.2774,433438.3684
"Feature0057",50849446.1,46803315.17,56560014.5,62021084.44,61233569.64,1471300.474,69118097.67,72569779.01,64722550.35,59669006.2,2058010.004
"Feature0058",208140.2678,65718875.82,66144909.78,422683.9427,62112929.12,72647180.74,431880.7786,61429196.15,892328.712,65743080.51,70685483.68
"Feature0059",20351120.71,354936.7276,1809506.218,382970.9299,406969.1384,7796442.38,97881.47229,26600892.61,3375929.283,72805325.21,33410996.11
"Feature0060",33992637.9,36355291.16,54613913.64,39939814.23,43845277.13,73547316.39,9059014.816,9619351.134,9406618.882,5892437.658,3008595.32
"Feature0061",20400939.63,17584957.72,24751594.52,5191687.777,7568404.708,963616.8276,58775989.11,26864036.33,73957352.76,385977.6263,318410.5439
"Feature0062",2073756.89,321183.7897,219544.3628,112275.705,242381.6196,74604699.26,161406.3767,1259665.577,237564.6124,11138435.92,3670390.349
"Feature0063",22656690.9,22100124.77,28951276.89,59879413.6,58003073.49,62706014.46,55471185.39,74626833.92,24938823.94,21670032.92,23006235.65
"Feature0064",50849446.1,46803315.17,56560014.5,62021084.44,61233569.64,74676276.14,69118097.67,72569779.01,64722550.35,59669006.2,51375011.33
"Feature0065",35366660.4,32356740.9,41358102.95,4955907.12,6860731.845,182188.7781,25972664.38,16581263.79,76099517.92,3592362.021,678002.8168
"Feature0066",44390172.22,42085965.18,52399825.69,6930391.464,10901850.35,646206.2614,58611487.07,30330949.58,77278219.33,3036486.634,1255859.413
"Feature0067",38580573.08,35426023.82,41889403.61,17857206.88,20719365.29,365759.3668,25283886.19,78162935.44,49049459.19,569842.3081,277636.9558
"Feature0068",22406086.08,23730339.12,24955717.4,71165264.41,44721974.39,78317861.39,38086876.55,47334547.6,45740859.53,41032605,41367298.83
"Feature0069",4366857.251,28806829.6,39425050.65,7797046.366,8931035.839,67732.55162,39860260.29,24284212.52,78732068.13,1133879.599,1035388.966
"Feature0070",1166605.425,25106297.03,30892961.35,3053199.263,24586459.88,565491.1373,4241934.131,642405.7721,79222340.2,2763004.221,2419100.733
"Feature0071",138189.489,180229.1917,93564.11656,77395.94502,275156.9954,160983.8178,118870.4753,143113.7675,79696499.39,3227006.338,248129.2865
"Feature0072",200145.1528,606130.4439,246261.2116,74383084.17,42505285.23,80103533.62,4771483.301,1310279.281,654734.8043,167752.2762,215933.7693
"Feature0073",2545974.884,2260644.567,2780951.655,67479582.62,70391406.52,74692600.36,48424585.03,80417857.57,3906481.367,4045420.66,2385471.618
"Feature0074",55549846.15,73787121.09,75516182.6,19296632.04,13624600.37,23512606.94,18738339.22,23973376.81,80448610.47,66457832.66,57739124.6
"Feature0075",614447.5442,173707.8544,498206.5795,1636853.181,1491601.861,2065839.634,5526410.209,2879562.163,83377054.84,61864926.18,62119906.6
"Feature0076",3740817.618,5063307.124,3677278.551,4268378.323,4764238.567,4583058.106,83448388.23,26067419.67,5896001.826,4356952.377,3721250.231
"Feature0077",76799129.89,70991594.91,86309584.79,496150.0035,280912.7456,502752.911,764392.4907,1185672.425,718912.7536,498098.3006,197645.5474
"Feature0078",78140283.62,86343546.15,5040339.767,2681301.524,4663958.932,5089475.343,457674.1857,6385374.386,18849942.7,18049634.31,6919518.96
"Feature0079",138189.489,246939.4246,129489.2856,107908.8385,236916.8595,133365.8994,101166.7989,253537.0262,1859091.852,84572725.39,86882842.76
"Feature0080",75718399.35,87019360.62,66748657.91,8057815.794,6129010.172,12906754.51,932023.5632,1182798.787,8882952.194,3418632.212,1347431.748
"Feature0081",4669130.18,65136643.58,76846174.97,82337026.89,79096497.08,4200141.388,83396298.84,87079237.62,76597798.53,3577136.567,3189280.134
"Feature0082",87302479.28,4995440.184,1001125.568,61359.36297,63294.10071,66056.5717,69422.975,69999.72446,98227.38992,89175.30739,175162.9159
"Feature0083",44459121.37,848490.5314,1445030.168,87876.75459,137152.8688,11955363.32,1159892.039,30521375.56,1547513.619,87479943.24,42655118.33
"Feature0084",2932028.587,3421460.618,3377278.308,8764996.938,88369449.89,10473149.73,6901445.328,12022047.16,4627459.245,3579030.618,3655111.76
"Feature0085",212928.4456,221525.3706,246237.2932,203086.6068,215488.481,198605.3217,211414.8346,218023.4891,89136420.13,81184649.11,88911481.06
"Feature0086",84501292.35,80135618.12,89288584.44,1552672.758,161488.1007,350881.1512,9049254.619,4842484.075,12608150.11,9760271.162,12454882.27
"Feature0087",64148336.23,2156998.373,577882.4932,4337965.822,4533317.39,90289529.36,1471559.069,87079237.62,4575563.296,71139775.32,64812390.43
"Feature0088",66850257.02,58552537.11,62748498.52,62925218.84,40213497.11,71011511.7,44947062.14,90601987.87,33360424.39,30475593.05,29825187.47
"Feature0089",77791364.07,94006928.16,78865047.11,579868.8884,120204.7168,123939.2515,708113.0921,520209.5172,38177904.04,10155102.95,7146751.791
"Feature0090",80426509.15,77637562.97,94871825.68,877543.9303,2219367.166,2844949.994,1489680.808,1992663.94,336761.1984,3339864.577,2915963.441
"Feature0091",60289813.02,59658268.61,75307604.67,24484256.01,11555524.57,25681635.47,16011454.34,18394916.67,88214000.49,96497081.05,74919253.18
"Feature0092",78140283.62,86343546.15,97077855.31,3455349.734,4691577.89,1044148.514,839138.9518,6326463.068,19338506.92,18117578.02,705314.1027
"Feature0093",98086500.53,3848718.147,3696402.448,787040.2607,193996.234,523374.5188,2163617.931,25797135.13,2664554.751,2190004.791,2177212.594
"Feature0094",4898772.076,80173509.47,98632402.48,64607.47029,60929.12035,67911.18544,73935.37595,68954.85959,497816.5164,169849.2745,172066.9848
"Feature0095",82819862.49,80507551.47,98749119.12,7081023.377,9829037.748,11007759.83,4416131.381,10393153.18,4349936.622,1914586.948,2076448.462
"Feature0096",30926876.83,27087265.9,32211479.91,83550624.5,51019346.46,91168881.79,76247419.63,99006273.66,38273599.21,29333003.89,32615004.3
"Feature0097",254881.8518,331124.1092,442979.6363,359055.2983,444901.5539,429196.2726,170124.4466,333559.3273,99899200.37,2412736.273,2930601.998
"Feature0098",77246497.8,76136667.48,78474675.02,92057321.67,97608852.06,11768837.92,99947831.67,93929528.69,98128903.79,76708346.97,2963171.487
"Feature0099",99348025.79,117650.5804,218729.6509,102426.0246,96365.17387,1427385.268,87477.28957,265751.1043,4863629.986,100142996.8,83619781.07
"Feature0100",77246497.8,76136667.48,78474675.02,92057321.67,97608852.06,102304068.7,99947831.67,93929528.69,98128903.79,76708346.97,75963851.54
"Feature0101",37300454.31,32335235.77,41831364.42,4260954.427,4685212.17,4429185.106,3318654.558,12290117.57,102387549.4,91234839.44,95545658.81
"Feature0102",85262336.79,99344259.89,100548498.7,23806922.76,13480119.92,26874085.74,19460753.69,102820965.2,64982773.66,63275857.09,57707782.84
"Feature0103",1885549.985,984501.1659,2489370.413,204730.4694,1439464.543,97865835.24,1141147.785,374005.2208,209140.0551,103585989.5,101302611.3
"Feature0104",104490422.8,94072804.07,85013114.54,12843447.67,3827114.413,496817.9708,2887951.275,31516379.65,11586496.21,1248679.601,2141493.458
"Feature0105",1323897.96,233907.1204,949899.1093,373642.6194,2818643.933,104380839.6,1364417.59,58242177.02,753262.1738,97600651.72,104706811.9
"Feature0106",365270.9258,399572.7327,415001.4904,365749.792,406854.2419,683992.2744,368929.066,406550.389,90095926.67,83013882.61,105228275.9
"Feature0107",55064579.45,105434423.5,63619875.74,3152092.604,2031963.334,2939261.513,3555623.38,4093062.524,47223794.29,45851038.96,39043212.25
"Feature0108",619213.7355,139140.7871,157216.6378,124927.4548,205291.6585,536277.2891,146916.6391,155683.27,106195727.2,67786108.28,40961612.8
"Feature0109",87564139.22,88838489.98,107390618.5,3565926.924,2269042.838,3437309.856,6216883.313,21549045.85,69180748.33,54463655.59,33941074.28
"Feature0110",69030875.74,65070927.55,78497319.15,91004873.66,78939822.03,107426618.5,97651566.73,95554463.81,69665124.65,63481338.81,54402222.26
"Feature0111",86374287.61,83833552.55,110607937.9,63023471.79,43495459.6,74018811.87,72431343.6,85224671.62,80766964.72,65022027.03,57577181.64
"Feature0112",79912096.82,81672895.93,92698118.71,58146155.67,45015593.54,81987000.23,33739489.03,111793250.3,31028784.33,16189415.23,7433416.567
"Feature0113",112034506.1,883668.0752,1783427.282,452997.8781,276206.5014,5840641.914,2646755.862,18721377.68,199136.5525,2347301.349,1192909.828
"Feature0114",565889.9972,97971159.49,112366862.8,79135641.1,67588434.84,3112203.826,67225319.84,5427925.161,50333659.22,478193.5868,733856.2527
"Feature0115",52481757.16,52823045.48,1432845.035,47147734.01,4551681.481,2084535.665,26983819.8,112601785.9,19473095.84,573137.2206,269303.2152
"Feature0116",91963501.56,101156201.3,113757173.9,16321672.07,17666613.34,21827406.03,12920008.88,23401964.85,53442608.62,42001710.79,39517037.32
"Feature0117",311663.7745,172860.6007,198158.3487,154232.112,279757.4224,671794.8185,303240.8219,715264.6552,10932084.58,114177624.4,88602966.44
"Feature0118",266018.1163,243862.8363,255811.2782,562161.8467,353278.7041,114444935.3,439907.5597,1395291.909,264420.3824,379684.866,265750.8235
"Feature0119",115305510,274964.5056,864659.1798,1796980.141,119144.384,58798702.47,380334.9526,1024593.798,117634.5756,114175342,97347574.05
"Feature0120",1137677.426,1679732.139,1899287.699,960943.2036,847019.8413,115860976.9,950989.3946,7253467.15,797437.8274,29495451.54,13126607.04
"Feature0121",81851824.31,78044835.34,91455923.63,76960833.2,58981522.21,96820654.27,53680741.5,115871241.1,50791999.39,28820324.42,18058598.31
"Feature0122",86888696.38,80131337.49,94675076.03,99258944.3,85763072.54,116277316,111389237.4,94269657.9,25414693.28,15500716.01,13574083.06
"Feature0123",102005778.9,116965714.2,103964308,7864091.428,4238549.764,9312044.365,9927885.145,5475912.736,15231215.57,16091290.11,14243688.91
"Feature0124",61140967.19,5643173.794,2877040.969,411879.8755,255401.3858,858032.4904,12130388.8,3566029.988,2340173.624,117117058.3,80489531.14
"Feature0125",8847743.443,107565198.1,119833929.1,7906818.085,1842654.463,245722.3853,8089048.431,18674048.8,9638191.616,2347301.349,158382.3589
"Feature0126",119864245,94265220.9,98715016.02,2087516.152,2567980.833,3648077.335,3130433.058,4094132.249,69557821.38,63602152.66,51223438.44
"Feature0127",5537592.654,92109006.32,120918747.2,7696969.253,8789168.639,524065.4763,62229872.43,25787691.37,71791889.49,2060573.163,2151996.272
"Feature0128",63756539.83,79520901.39,121103082.8,3828497.604,1356287.501,1225962.553,3955350.167,2192802.714,47882560.92,47207768.77,43901538.02
"Feature0129",1219040.917,91655325.72,101918268.7,1180452.165,828452.4929,148076.6392,1207901.247,2155048.498,121355227.3,588453.6991,1473702.085
"Feature0130",45730701.97,43468673.75,45523775.05,61537077.93,50573513.92,71197621.66,65205350.95,121926424.8,25278097.33,18681788.15,10255750.57
"Feature0131",149276.9296,463319.1298,150545.3388,141456.2235,137848.9947,136201.0161,123140060.3,22589380.4,170929.8625,127479.6353,133721.2785
"Feature0132",125753264.7,1250250.113,2958894.045,362485.0312,380461.3946,6762454.078,127042.9752,46844055.67,314271.231,330748.2673,334924.7846
"Feature0133",120486167.5,127293193.4,126742111.6,766150.8428,748887.29,1512069.626,8875263.81,9345800.832,19556272.69,12719898.96,8757305.601
"Feature0134",2375501.676,128079.9663,1953494.294,2396630.634,2580167.965,124563203.9,1539897.807,1037121.308,709261.0508,127569351.1,126193083.6
"Feature0135",7672862.87,105809636.7,129875328.2,52130995.31,22330881.91,3375182.607,22066895.56,20466443.55,123981978.5,4862012.409,4557851.086
"Feature0136",405014.5545,329319.7383,397296.2549,703711.1186,442517.2478,1810771.49,755934.7098,1059223.858,6412510.013,130470784.7,81926349.15
"Feature0137",410573.1469,397051.7963,402904.7674,423094.8256,402537.5212,368422.7748,450272.1992,386224.392,106160839.2,110694584.6,131196227.6
"Feature0138",3313108.084,2783941.81,3735736.623,112407652.1,115906047.3,120629328.8,80023827.49,131342348.1,3535632.023,4265285.557,3380688.225
"Feature0139",275635.9804,259532.1705,292887.7498,351118.6194,300943.6845,287077.2279,298358.5693,240334.1887,131548440.9,60413319.85,59962301.18
"Feature0140",6976685.892,7043471.604,428320.0911,56005634.53,47951.67552,1368467.024,131874054.9,14950999.85,14619908.85,10579978.11,296089.6012
"Feature0141",1704386.417,1361073.258,1407441.081,112698005.2,61565650.19,133341625.4,16819684.22,662251.6211,2183894.916,1211718.229,1465183.096
"Feature0142",133420558.9,11466306.86,8569444.58,1192388.015,1701636.846,445826.4863,1183698.282,1861368.935,2082302.727,2915964.698,2191015.725
"Feature0143",2689115.729,58781450.68,68047821.2,1190900.948,478035.1741,856471.3441,12123611.34,3545892.777,136613251.3,2452494.209,2041762.492
"Feature0144",542300.1153,644051.4156,524561.4011,2498062.078,3225740.319,4523561.857,136933185.4,27059180.21,490637.4113,462208.4246,601240.4866
"Feature0145",102978562.3,102337328.4,118090217,23251717.36,18581627.41,21996443.11,28698038.06,36295715.2,133680351.9,137397815.5,93139492.83
"Feature0146",127814768.9,3516019.886,6677222.135,2328165.549,1770497.273,139610629.6,2121687.394,9179944.908,1795327.532,24537987.68,11446389.78
"Feature0147",82442448.9,81115119.34,107238446.2,33275000.47,14522390.78,40252375.92,26706100.19,30508312.3,130326132.2,140468377.9,110094590.7
"Feature0148",4149886.741,120599944.1,140866726.7,4774799.009,8804316.262,407305.0589,1629955.371,46844055.67,380416.3543,430352.3796,291521.4017
"Feature0149",133525059.9,142917353.9,130937597.9,1832856.235,1612152.219,1381267.928,9479433.52,5562421.717,70703503.18,68615154.42,59784616.44
"Feature0150",51764107.65,2438774.835,7341649.643,1205254.967,85971.1062,36887289.72,36745422.76,4245408.344,2130592.212,116517938.8,145371715.3
"Feature0151",4834784.91,21842614.94,23547773.02,33672118.05,24157353.17,392822.9228,25108431.44,93669032.58,145805579.5,5535392.346,2424165.238
"Feature0152",120200357.6,2799431.678,343507.6291,49660.34964,46074.27488,1648237.429,48239.56196,1311128.461,879935.5004,148167037.8,121122046.8
"Feature0153",122592239.5,134221038.2,148388599.8,71349450.09,42913144.03,82705487.23,57432440.37,56498596.13,144195146.5,137518571,112739450.7
"Feature0154",7052810.695,125786371.3,132393450.2,1471655.184,1074528.738,58573.2649,1302655.903,1239586.096,148605053.1,3276863.731,3117210.743
"Feature0155",5911121.154,123780032.8,154394443.4,911596.2642,1748609.093,445826.4863,1224024.006,1848366.46,624895.0144,2964229.98,2166719.933
"Feature0156",13541119.58,10192815.02,14601457.63,34159893.31,67164831.57,59020248.97,88229166.35,155021980.8,10987349.95,8272609.69,6003899.27
"Feature0157",157299669.2,141213390.9,158063465.3,1700973.712,373765.1626,1772725.72,3074943.205,5571420.889,15127856.28,10384583.64,8066621.474
"Feature0158",715521.8554,1030523.468,1561060.845,452164.5922,271962.9984,790335.6772,473189.0291,715264.6552,161539115.2,6709078.711,4207748.701
"Feature0159",100239796.3,99481210.59,113309726.2,132082004.8,122546195.4,164306708.1,145836107.9,131986592.5,132949762.8,122833384.2,105505174.6
"Feature0160",166162918.7,1230056.865,3377566.906,66186.13826,105710.027,125430.4941,125495.3224,110467.6216,243362.1068,44032386.94,53710028.78
"Feature0161",141446625,139024870.6,167021415.8,27887680.99,20289860.37,35893265.28,1028951.195,722420.736,4372118.115,265985.2851,234348.5829
"Feature0162",32253044.07,33004269.2,42927329.72,74305355.57,65649259.4,116777084.8,56519971.39,168114024.6,10793663.72,2209047.763,6813853.622
"Feature0163",64379057.23,56034433.04,73345100.78,55716972.69,2109504.456,2275491.694,48741047.25,180031710.5,116486204.1,85587714.16,1667114.092
"Feature0164",96341828.4,2624703.508,12190583.35,6029048.206,3774874.722,3335337.454,7549807.203,181491511.3,1776857.264,480178.8058,424577.8221
"Feature0165",89930455.73,99466067.06,113440195.5,111357160.4,94645360.12,116582337,73511368.29,182573260.3,46038825.4,38069840.87,33591081.31
