"","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","30","31","32","33","34","35","36","37","38","39","4","40","41","42","43","44","45","46","47","48","49","5","50","51","52","53","54","55","56","57","58","59","6","60","7","8","9","B"
"Feature0001",42906.11431,91280.22079,2382631.415,229867.8078,2232419.573,672501.8481,121738.5628,1119088.787,132453.8272,214926.4026,3219248.414,1482931.761,77588.77834,99722.7221,204151.8499,24904.87011,533574.2671,1113608.608,2175489.973,948587.1493,1335279.452,1450967.848,78723.65269,62929.8333,487633.7666,1347418.629,786277.4009,256353.9214,3025567.848,1010667.132,2351011.732,1167021.211,293677.9386,1658776.154,1133812.675,1686630.061,70011.89406,48134.78472,108859.1458,90676.63024,74029.45096,154135.8025,208841.8213,1743195.766,103332.6752,1627256.934,2079512.309,1999657.839,370755.4991,463061.2021,883615.1837,2610039.111,1566282.362,45470.19225,123455.7155,71933.68914,2717680.089,60431.54757,3006075.263,33130.16827,32634.59334
"Feature0002",69878.01397,66849.82862,57023.50968,81116.8822,55103.09644,83542.61521,102416.9144,70191.38994,64996.85912,68871.82436,58179.95019,71601.82535,2669222.424,135421.3272,62976.99604,56797.90463,81650.41965,71917.67648,60949.0214,80209.81654,64359.59643,59033.54272,496561.8349,1090549.884,64415.12542,75197.92004,79549.72176,75560.00228,65424.8209,73030.24558,57610.00548,103191.1559,83385.98938,63513.85777,68413.40251,73894.57871,200118.6897,812740.6909,362828.5621,75383.34675,741628.4141,93888.16618,66320.90787,56235.35065,122148.8389,66717.63668,58853.12996,64152.66477,110633.1296,70153.29504,74669.91238,60388.32173,56898.50872,3317806.012,76395.2647,73230.55157,71020.83286,954628.9439,59770.34277,221533.9945,107540.0113
"Feature0003",825512.6796,328982.0533,742098.6963,2122464.995,641076.6991,2645508.362,222346.9563,535346.9624,238624.4853,1829099.075,619452.6986,411707.9829,412133.391,349947.2111,106273.1758,84142.13846,1818468.565,229346.8241,658241.1043,3904878.889,419924.6065,496011.7143,74506.15668,254293.762,255897.1095,460431.3588,3813514.458,745007.6961,738400.0889,379097.3526,691193.5495,3593983.359,2110839.698,486827.5035,353072.6804,409091.9338,232082.001,173154.6287,151565.716,87547.21733,168611.35,518506.5972,141166.9267,449079.4521,152551.0644,1106101.761,639581.3478,504681.6053,1746854.464,272249.2894,393684.3149,604543.809,511228.5923,119666.6708,357330.5589,241402.689,934479.9921,307291.1442,738579.5346,118028.6597,36354.16092
"Feature0004",96425.71915,2771941.072,50284.53591,74981.78475,49232.36517,2652659.555,2902519.783,405854.6679,135877.0272,4057613.249,75063.97907,2056690.494,51209.26612,1338223.542,370097.5158,73912.07787,275457.3091,118967.1095,49441.75923,3654686.359,306160.27,86436.72876,539527.5335,44084.75744,960277.7291,373910.0524,3112954.244,1432570.289,92757.75373,139915.3774,73551.21431,3753353.097,450393.9502,74809.78781,2014338.276,2457691.386,43040.04283,63446.48793,2181238.277,923262.3254,553343.8526,2177604.567,63401.59212,65550.05966,1904829.709,521572.7557,48506.51968,58805.49913,931544.749,195258.0965,613179.4405,102023.7184,72898.47927,65424.51079,3655994.451,2241087.45,114579.378,817052.128,50874.67772,43588.00903,54214.11487
"Feature0005",436914.1124,479094.7637,644935.6861,547787.4085,585304.66,504559.6952,484700.3942,1289007.585,646052.4037,839348.3324,1005347.583,919869.4285,324229.2341,890193.3526,308309.9914,86594.84553,526936.8007,1115074.935,636636.2514,4132127.699,828055.7257,703269.2494,283122.9052,407639.9857,639957.7486,1362559.11,3380820.863,539830.9553,1706001.775,1160871.356,1023538.882,2947935.021,493262.2004,807376.096,1230755.647,1273036.863,432757.7462,518228.1381,390766.3637,260454.6359,247618.3345,1344479.292,332497.6822,546637.4875,291062.8747,1135806.003,530043.6665,733338.9696,437055.6268,623696.6748,1392992.792,1193813.242,729064.9836,620786.631,612233.7894,529856.365,514797.7934,406994.7184,848906.337,261156.0286,46918.8222
"Feature0006",47036.53881,86021.83219,51905.29306,82868.68279,61414.74728,306282.5845,694044.7485,1435241.324,400338.6792,1520002.804,72837.41863,1167050.84,34579.37903,97606.10789,364504.9924,78571.04967,51427.51581,1345647.51,64623.78704,3955284.986,987387.4401,78870.79881,65179.44937,52060.99509,849600.299,1369877.841,4184642.709,1095699.178,78774.87971,1934160.818,58667.13035,3386709.643,107051.2953,120162.6816,1027597.67,1408172.329,30795.9888,35708.94484,186154.7943,74421.94198,81675.29448,58168.40889,520353.9527,50621.24659,49853.18544,311081.3719,48894.62046,84913.18598,58958.10865,652441.2973,1388878.493,111553.2417,68052.33931,51293.79107,81853.74865,55242.98918,113940.7471,314377.4823,57989.47729,43748.38775,43519.71136
"Feature0007",462922.0972,295823.1929,2802820.547,659513.6724,2208013.119,497235.4,700254.5179,4113060.642,3836905.232,489248.6413,2982760.799,3478308.694,478235.043,679011.7744,1651216.678,379256.0462,878817.9835,3697815.443,2934987.054,1501382.838,3056655.801,3473239.427,414952.5308,300896.7411,3109626.666,4220963.969,1659083.279,163834.7049,4150347.723,3546547.959,2608968.179,1510972.689,1005063.503,2719442.017,2731303.178,3517169.659,256046.1915,494903.36,371424.369,579825.6218,248206.1484,986312.3067,1991292.598,2331607.348,246242.0047,3770500.614,1901084.375,3551849.099,567115.0799,2304009.691,3936553.402,3652790.648,2276327.819,341081.6937,473947.7321,483217.3748,2015080.85,200073.2534,2333764.827,197071.8139,735137.5088
"Feature0008",311412.3732,743943.0176,587785.8829,458802.9819,499151.2763,472777.0225,1008570.067,423426.9397,308391.599,1277173.36,741384.5075,277543.1561,1117668.431,779156.3298,175671.6051,107271.5257,489248.1968,354409.8119,827008.7515,4181606.497,274420.9924,1278137.476,1334113.044,695313.4169,220547.0411,414053.5792,4386416.843,735961.6645,982730.3146,386267.976,727140.4832,4067666.742,487212.3926,869391.142,286157.1507,297743.4467,599838.774,875263.4678,1754205.486,1521621.392,887697.5781,1551298.473,123671.2604,1268233.531,868725.1146,1424347.654,553288.7362,1521817.085,398202.1231,174965.3874,304123.6651,1682311.884,555281.0276,1185201.989,1658625.921,900186.3134,363208.6114,1245607.867,823329.8063,581476.1953,48178.5915
"Feature0009",159047.7571,252513.1972,200106.0429,117725.6203,199409.028,199417.5866,84762.08574,215550.3638,4525732.214,56646.19459,161402.3747,212173.3457,155099.2911,168175.3489,168938.6102,114572.1853,49286.85112,236815.9201,85913.23635,77881.91536,77467.04448,193442.2924,57102.2867,43598.96204,182417.3021,231576.8083,80640.29625,227368.3018,214867.7558,212972.0966,79759.96681,272399.9432,166164.6132,214963.8249,80792.36145,231516.5349,211042.9552,153417.9268,222255.8615,263956.2865,227373.7001,121390.4312,1022903.427,202989.8959,139092.2926,89483.86593,283258.9809,205504.0235,168597.686,74261.02306,243710.4481,220191.5716,192814.1733,167776.3893,180432.1666,177224.0228,167177.5067,57776.00243,74852.07754,164548.981,51636.29847
"Feature0010",1245628.346,1044637.07,535957.7381,1525553.054,633213.8816,2709523.131,1809726.532,200401.6871,128532.5038,852177.365,1257433.503,406575.0751,996158.1889,2633558.58,109883.1961,57554.38293,2302609.169,334789.7125,715061.1764,2162869.888,199975.4105,1260828.663,1067227.703,745061.5083,103175.6295,216386.7849,1642283.109,513033.5353,1297883.233,198661.3548,658443.9896,1802341.974,2386058.179,728454.734,202263.1679,273471.6329,646650.3375,992464.9779,1238308.065,624375.5052,1164420.973,4545676.992,182233.7428,873030.2333,1207618.985,2599362.685,515405.6046,1403658.265,1986686.288,120203.1724,262532.6991,2269894.687,853212.7766,1204189.452,1364533.305,1789827.487,589083.4532,1795288.295,1012414.146,522574.2264,39405.03285
"Feature0011",395632.8957,363334.7487,4565708.578,822056.0894,3068074.17,1391131.131,130421.5761,275812.4176,426338.8888,469627.5763,4310678.704,306716.1697,547355.3335,180032.9893,210301.1479,119055.948,1043984.92,280465.3709,2087376.836,1821413.606,107394.9175,1496563.722,501206.4358,461970.3284,439842.9549,319904.8205,2650321.444,626244.9871,2597820.905,484332.1031,3180200.159,1644937.191,801937.6291,1626475.337,352770.514,279513.0158,431184.4316,583069.575,419965.6739,371127.1945,796766.0649,473279.8164,216325.5633,2576241.906,565266.7188,732592.9273,3990745.302,1516093.122,546358.1859,131987.6674,360063.2856,2094505.497,3219263.199,459007.7691,699940.3742,279955.1725,4416025.725,1017390.464,3550662.865,552226.95,97539.88647
"Feature0012",70213.70555,100197.2279,73777.15231,76768.67237,66432.40208,100421.7139,123244.5879,120614.2569,78812.3262,128367.8115,99002.06665,97707.13902,76101.30855,121416.3122,73854.67085,45928.35154,81487.4294,99434.29552,3885989.084,106228.8722,80851.17263,4643413.403,104034.2037,69280.2507,82139.22232,102320.162,100425.5092,97229.96741,4415435.917,120032.6283,72504.88592,108663.9713,82207.10936,70370.47997,112677.6052,114534.3997,68109.4138,75084.08085,120467.3892,369167.7701,84440.50066,138597.1698,2094431.362,77329.00471,112558.2691,82137.60134,63433.50003,85017.89297,80487.40004,922670.7422,3327544.441,87061.41093,60198.5866,64656.31508,91156.49256,104564.8411,54975.48804,106465.2629,75872.0072,60766.47585,70221.33749
"Feature0013",1653258.825,1727560.459,352939.7291,1504647.934,380976.8653,3768928.789,4656069.872,238831.3754,498916.6095,2664588.794,753257.0478,458631.3443,538591.6445,3680599.29,274987.5593,139864.7426,1889157.688,523330.5078,706879.944,4333440.497,105367.1659,969927.6401,1446230.444,347177.6426,80286.16525,128265.5209,3730304.22,1835305.051,937286.1678,612897.4708,331164.6557,3814469.414,2795338.723,356210.3987,103413.0694,537004.4322,687613.3019,749513.0664,1838635.257,1630367.809,1044554.658,2591306.465,86096.04708,410109.4889,2257469.793,2198650.073,309417.0917,626227.3339,2873564.497,297075.4078,669087.0286,840985.1764,538162.3997,623645.7726,2019148.675,3807879.561,369953.5213,1318140.36,597020.954,320815.8293,42617.67054
"Feature0014",2344080.587,1346715.036,2821070.872,2961936.252,2359164.895,2913982.514,236733.1201,2459733.007,1371108.591,860520.7179,3343306.408,1165725.367,1704303.47,651949.5096,467996.3406,131184.8008,4647350.604,1712348.693,1964035.891,2631121.379,1103577.51,1355373.007,1181316.823,1579922.035,1146005.908,1793440.257,3145457.953,1078890.152,3645045.042,1400616.756,2696439.375,3005693.039,3452219.732,1790823.006,1328193.2,1507806.762,1542474.853,2278106.964,2002441.992,308879.9322,3455815.498,2139539.719,1465985.752,2291814.027,1715719.458,2440930.757,2737564.258,1661870.66,3471755.38,774877.0103,1575975.079,2519713.482,2214177.032,1408983.643,1911558.407,431076.9504,2933140.889,4666040.529,3286797.726,907434.708,235915.6525
"Feature0015",2966070.691,844357.6151,1582613.804,3802171.557,1011126.628,4141800.693,417564.6761,3061535.593,1595007.15,1382670.661,1103185.444,2502828.793,1356996.419,1776487.94,1157919.014,65232.87395,3388975.037,2680605.155,652567.4272,3788360.648,2285257.015,394747.2238,407877.9096,875377.4387,1626197.697,2870472.739,3048016.129,689154.2291,799226.084,2840279.864,909022.7724,3233334.218,4705466.541,467913.1871,2350742.334,2860432.063,853836.7103,1021396.257,1008703.493,89535.96215,1031566.262,3896010.988,1691692.376,1011535.91,862942.5156,2301277.758,1422388.14,525830.443,2495479.527,1770309.291,2993627.066,794679.0894,812010.7015,1017438.687,1062523.151,614252.1705,2551209.562,1312014.299,1184138.068,681836.4258,80483.68375
"Feature0016",167868.722,242564.7046,151971.813,211231.7592,167462.1317,279410.6826,262265.3193,4249532.604,3696362.42,299834.5941,227794.1673,3835814.313,133527.5712,272250.9531,3032021.881,40420.35904,240249.0188,3826967.151,222625.789,312215.4337,3114711.231,270980.74,240931.0199,105210.6512,3068837.35,4742181.041,277198.0386,201508.8896,281136.8174,4649713.69,183869.6148,287628.9403,218401.6358,200516.3684,3413833.183,3984435.598,98717.29354,130277.5522,292472.0714,239327.9545,227006.2224,254362.2587,2755437.791,134937.4014,244240.5613,175237.0146,132893.3036,261580.1629,207150.9601,2872240.459,4212103.89,252673.9399,218444.3111,149178.3244,280251.3876,214611.503,172318.8078,255342.798,199331.8028,95662.12943,53567.43018
"Feature0017",677344.3438,876196.5358,402657.4552,905757.5912,417242.9149,910440.2909,1485492.061,3489284.563,3352795.362,1895233.965,570617.2846,2566352.001,716702.7126,2536234.515,1133136.061,87064.67635,1201671.079,2776011.743,306608.963,4780930.955,2206336.961,567732.108,3011155.552,654598.9048,2132459.682,3552555.859,4577169.445,4789837.633,1251485.783,3143429.879,507866.8646,3984268.224,1080031.152,430668.6201,2320283.458,3041997.028,673664.0759,1472321.149,2540371.54,2297430.692,2050599.784,2315552.755,1143991.994,977011.284,3332355.125,260822.2174,408726.604,497080.9574,1030678.872,1649478.42,3081521.043,878901.8902,399404.375,1298173.499,1578679.332,2718816.436,258574.7184,2548989.209,812710.5124,691715.1295,90847.78352
"Feature0018",1445572.751,274779.95,1148905.552,4739818.127,720795.0702,4835063.308,266996.165,1753993.036,1160319.673,1732067.064,927894.9526,1112121.165,486387.9817,229806.8298,418867.9695,78390.46204,2909829.086,1436942.667,558360.2169,4058561.411,1252764.536,406306.7824,75502.8332,176575.6767,768835.3425,1640035.465,3278034.775,1311208.639,1437161.403,1604115.888,823823.2866,3572071.686,4540149.765,337366.255,1209947.163,1401488.926,134053.0278,187317.2376,84922.75538,116830.2135,182463.084,740331.6249,571795.8862,766476.1233,129652.0992,552607.6521,867299.8214,592776.2271,2808761.133,939778.8677,1679175.364,708628.5937,678436.2242,146782.3368,517794.0626,153775.3559,1365004.541,306177.4229,882767.1812,143303.295,69902.18221
"Feature0019",1923582.482,1214868.182,226355.4881,2292946.645,253974.0816,1878681.613,1660312.722,252072.918,97394.03818,1053030.293,86354.98603,110336.9091,738086.0714,2762926.13,189092.9544,141834.9118,3398812.718,142933.7953,232399.4658,445781.8505,270614.4009,141501.4402,1376986.469,324231.76,208764.157,188352.6871,822690.8707,621222.9739,218444.2648,118381.1606,307184.9727,684183.6719,3476462.874,305251.1767,121506.0139,372570.1757,286808.2658,503099.3959,1694701.069,1301184.942,1337887.912,4863127.045,260413.5685,253930.8161,1032271.457,373043.2681,188936.0686,253123.0118,1719582.722,93266.74701,174965.0925,121365.3236,208272.714,631362.286,2780513.868,2549402.852,229540.1046,1272838.208,228693.4506,289687.9615,256057.9922
"Feature0020",166941.5935,137078.6075,2286964.784,145551.4873,761375.9984,147791.0068,144964.8727,146806.3878,248719.7857,143508.3246,3816083.878,148329.4953,142091.8549,151489.3715,150180.8572,139204.1935,152061.4898,132208.4405,1771096.158,197340.767,133511.2655,2857451.597,144359.4628,145116.5695,156434.2406,136378.934,223427.9012,198320.7299,3200136.801,137394.1195,3083698.644,174679.4642,153254.562,2161862.729,148745.0067,150485.8016,153884.047,149031.2572,149082.2066,144741.8789,149491.9245,163649.305,144825.9792,1891732.541,146200.5553,155763.1876,1722070.432,2721944.214,155707.6062,152207.0811,142725.2881,3544985.141,4444905.942,142873.3891,139701.5221,146904.6013,4893811.138,149043.6281,2580328.609,146885.8172,225637.5142
"Feature0021",1192712.209,1612299.065,1575604.521,2906815.465,1686937.922,4689334.141,772251.196,474532.6228,237076.1916,1291449.325,2135404.019,181040.9007,759457.8647,2346142.849,266949.3282,102791.5604,2551755.767,438512.1524,1220985.618,1942802.939,499261.4121,930150.1431,893678.2808,546160.1573,515778.4496,380425.8443,1778625.205,408676.3468,2523814.046,409441.914,1510678.283,1771387.938,2979777.978,1227706.345,199193.9038,289374.2827,442292.9706,628408.2402,1030857.32,206620.0468,1195083.396,4895236.457,1178399.613,1526433.383,1504456.909,3645277.966,1366197.039,1154332.364,2633531.651,401377.7076,691874.216,1761058.107,1290606.425,482094.5492,1695866.842,1617299.115,1749069.46,1958145.618,1937966.366,394348.3512,122929.3594
"Feature0022",168256.3331,196227.6084,180330.2196,371327.8037,151789.6758,351939.6563,88397.7907,4896792.279,2483507.745,339533.2279,239841.5599,2779890.755,153628.4182,127100.3429,1081626.022,55022.79025,347737.4941,3093724.368,210912.2813,768215.6517,3395084.95,239310.8207,85903.85718,103994.1731,1855801.353,4165102.15,230014.6718,124315.8721,272318.0377,3734899.16,197794.4152,126626.7639,280611.8172,189799.0275,2920160.853,3442142.226,98185.76801,76726.27208,91908.25557,85954.35908,83263.85201,389870.431,2070690.071,165491.1896,117308.7832,198428.0217,192381.6206,238028.9602,227622.3656,2210790.681,4047251.905,248163.7428,206028.6345,98059.08388,189599.9086,176108.8146,400551.7339,200067.6781,202117.4104,70795.86907,94633.45235
"Feature0023",742353.2962,2217583.993,1126019.209,936780.8001,897509.4825,1769655.673,2773850.03,614660.0019,386423.9218,1607900.855,1480813.173,205205.9978,2703287.09,2797288.34,206144.9819,116707.6848,2829321.292,247858.0765,887291.492,2698285.3,293343.6175,1016847.392,2013328.549,1983541.278,104181.6104,273132.0629,2230358.69,734240.2793,740783.005,289269.2116,1304651.574,1288831.67,2010574.816,1350886.737,516711.0936,196446.9689,1645369.091,1610096.635,4339847.124,1247985.977,2292091.084,2097227.433,315339.2473,1068221.288,1658219.24,1548145.412,825596.2418,1548717.593,1879977.023,160169.3389,278513.5294,1947558.409,948070.4898,3114365.528,4928030.388,2509194.575,1134912.109,3959914.843,976746.4959,1072812.028,279235.4761
"Feature0024",418959.896,1000496.642,1865264.117,552663.0734,1726035.994,1137446.177,1827648.236,2781163.801,1734596.537,1760116.921,3650837.465,2370675.526,701548.5815,1287294.787,783534.9717,42497.10554,569484.8302,2664345.034,2778651.539,1467856.848,1659213.675,3044148.451,997529.9475,618223.9781,1407147.916,2927741.98,1526397.375,1032654.335,3206655.879,2649409.61,2455035.471,1573803.619,604309.6558,2469638.657,2315591.439,2213896.741,471092.0957,733528.113,942332.3078,1108725.935,917611.4923,1111671.96,852797.8764,1537248.033,1289013.72,802714.3107,1236273.28,3579688.226,829311.1774,1263805.495,2558429.783,4928895.195,2940993.29,987478.7135,1179399.618,1040608.525,2964972.429,1336305.567,1848106.779,349961.942,40732.56381
"Feature0025",1516463.841,1914516.877,2848286.344,2067304.184,2577488.963,2447769.165,621761.2212,855057.8169,266961.5173,897011.4622,2936616.551,392121.1536,1610894.665,2274009.833,215411.9938,31552.71873,2883541.719,484406.3954,1730624.04,2017152.31,464267.0136,1417519.055,2583856.907,1419764.119,206628.7574,668192.2083,1802625.38,193799.2303,3158344.641,555825.2392,2251720.178,2008507.849,3001707,1593704.16,322541.3245,497545.974,1259464.725,1935069.161,3441438.998,389520.0175,3362235.021,4665516.165,471255.7279,2707280.417,3067095.516,4311321.475,2566583.72,2349309.368,1995555.232,275621.0369,565730.7497,3008740.719,1996895.47,1287901.825,3070715.816,1018509.227,2362431.351,4933779.613,2436269.306,1030786.069,42356.08057
"Feature0026",1351330.11,3555282.758,2429792.001,2079123.65,2292318.319,4707542.313,3846683.166,2625198.068,1916388.328,4312088.893,2727477.372,2646565.504,2867490.4,4584929.431,1715220.936,113472.7301,2746037.8,3187029.282,3195029.738,4958626.967,1541470.038,3687263.592,3099062.437,1857277.124,2191593.908,2419871.36,3849974.342,2785693.915,3470413.17,2341892.714,2735997.115,4905299.351,2674180.565,3183185.131,1966175.253,2637351.94,1367932.526,1895899.768,4174651.687,3256380.919,3384374.854,3509329.665,1355321.409,1973853.124,3157901.433,2769643.043,2129266.836,4045220.555,2297979.8,1626485.722,2354112.404,4095103.773,3050875.399,2858911.039,3848692.467,3017331.559,2699601.411,3811404.473,2431706.888,1343083.392,35539.96371
"Feature0027",790134.2081,615694.7525,2736253.883,1653800.529,1634158.534,2302749.234,394355.5372,3539812.25,790486.9822,848543.2139,3977909.604,1576568.96,597611.4132,974617.4412,1031515.234,57488.57863,2135159.154,2035998.611,2041177.34,1932452.387,1849445.648,872486.6149,313471.3888,500664.6538,865886.042,3146280.055,1872125.011,619206.8273,2048826.639,2462297.386,1995718.704,1858996.939,1978611.917,1194085.143,1494938.64,2313716.6,252090.3922,457055.7323,343907.1942,184238.9659,314210.816,1606498.015,510131.0975,1043201.642,280862.2697,1383439.512,2338493.773,1012063.707,1272306.074,1441728.72,2916873.823,1823868.581,2559089.174,317217.9077,593267.4137,305483.7899,4984080.183,548893.5544,2519709.343,231064.4207,56427.41157
"Feature0028",1632277.838,412341.9468,1587474.705,2462977.241,1582112.902,3480462.414,398542.8655,898725.1193,104477.205,428406.5767,1674671.115,376721.8559,335384.0992,876975.2662,147290.7958,57800.18692,2982372.417,377783.7716,944183.7224,1675646.114,517267.1411,592465.0723,245623.2374,178709.5022,158148.3259,558590.5722,1706688.995,1350159.567,1129986.449,449521.4186,1660378.98,1832896.379,5023377.052,601473.4698,405979.6113,335516.1718,175105.3996,183038.1963,196401.0612,98775.94931,308406.8899,2173681.426,234199.2483,1215672.607,273532.6418,890863.2019,1345613.371,824195.2011,3084306.457,215706.8993,446573.3114,1211522.903,1481259.796,222582.3974,320867.6746,293902.8181,1668761.368,343328.6845,1502043.274,134465.9881,53478.81044
"Feature0029",393894.6138,100296.7578,421726.9954,427842.0631,93533.90826,238811.0643,255842.5457,259897.9771,100128.6265,271392.5233,423509.2212,350468.1957,2713901.042,602735.4727,254023.7485,287210.2557,322728.1447,231596.6575,342837.0918,362559.6315,286666.0057,239161.0058,976994.0579,2051686.66,220398.4153,204982.4588,399627.0701,334640.6139,387342.0184,109091.8553,278912.5324,242677.2905,125091.6928,113201.6144,288135.468,308472.5391,738171.5781,1475284.239,663398.4228,506139.5268,1020209.31,140066.3974,238866.8546,294699.3554,476101.4809,113657.6885,97904.47789,301333.132,169386.963,255973.68,313236.2306,283163.756,274527.3995,5030253.396,453224.2931,259748.8841,97310.074,1032969.92,305192.0056,1034566.901,807783.7008
