plant_sp,fungal_id,replicate,plant_type,initial,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,final,final_div_initial,contam,notes
ERLE,1154,2,invasive,25,0,0,0,0,0,0,2,4,12,18,18,18,18,18,0.72,,
ERLE,1154,3,invasive,37,0,0,0,0,0,1,4,21,28,28,28,28,28,28,0.756756757,,
BOCU,CTRL2,1,native,10,0,0,0,2,5,5,5,5,,,,,,5,0.5,,
BOCU,CTRL2,2,native,10,0,0,0,3,4,5,5,5,,,,,,5,0.5,,
BOCU,CTRL2,3,native,10,0,0,0,4,4,5,7,7,,,,,,7,0.7,,
LEDU,CTRL2,1,native,10,0,0,0,6,10,10,10,10,,,,,,10,1,,
LEDU,CTRL2,2,native,10,0,0,0,7,10,10,10,10,,,,,,10,1,,
LEDU,CTRL2,3,native,10,0,0,0,4,7,9,9,9,,,,,,9,0.9,,
ERIN,CTRL2,1,native,15,0,0,0,,,,,,,,,,,7,0.466666667,,
ERIN,CTRL2,2,native,16,0,0,0,,,,,,,,,,,6,0.375,Y,
ERIN,CTRL2,3,native,15,0,0,0,,,,,,,,,,,11,0.733333333,,
