FeatureID,Name,Formula,MW,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,O,Cl,N,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0039,"α,α-Trehalose",C12 H22 O11,342.11637,731599715.9,703467.0058,885946.0557,1010241907,784150.5248,850880328.4,1103766409,754391.5873,3196302.034,1017620644,1072390.964,924680996.2,141720.9831,"α,α-Trehalose",12,22,11,0,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate,28.189002369593066,28.989455469866698,1.0283959357546142,0.04039581373009409,0.061686561309433896,0.10075471680540869,Upregulated
Feature0038,"[Similar to: α,α-Trehalose; ΔMass: -126.0762 Da]",C6 H13 Cl O6,216.04002,1035603244,2830919.545,2063907.111,140891807,2508382.891,300695817.3,378646398.5,1799822.946,3071271.851,245902016.3,5279058.193,311284994.8,192506.2932,"[Similar to: α,α-Trehalose; ΔMass: -126.0762 Da]",7,13,6,1,0,0,0,1.8571428571428572,0.8571428571428571,-0.14285714285714324,64.37142857142858,1.5,-4.5,-4.5,-0.375,-4.5,Carbohydrate,27.225323464618068,26.8617395182222,0.9866453764316747,-0.01939645559108683,0.7226883012711238,0.7534409949422355,Downregulated
Feature0037,"1,5-Anhydro-D-fructose",C6 H10 O5,162.05276,867707514.9,291446.9242,554424.0909,28971425.28,636563.7939,1010477192,876800976.8,721328.4846,1262049.972,23352548.83,888161.9383,20491535.68,213520.2758,"1,5-Anhydro-D-fructose",6,10,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,28.260582223172534,23.06356089938153,0.8161035295469017,-0.2931759131689994,5.6971079195283165e-5,0.0013032489599444515,Downregulated
Feature0036,2-Aminobutyl hydrogen sulfate,C4 H11 N O4 S,169.04084,8459307.288,58895445.61,129623982.8,897124925,164407074.2,8358926.821,8682257.187,100431559.9,458387554.2,683148568.1,141290436,698530184.1,197611.748,2-Aminobutyl hydrogen sulfate,4,11,4,0,1,1,0,2.75,1,0.5,46.05,0,-4,3,-Inf,-6,Other,22.779284247597335,28.8048265235911,1.2645185077151542,0.3385881526938916,9.462324709516499e-5,0.0013032489599444515,Upregulated
Feature0035,6-Deoxy-alpha-D-arabino-hexopyranos-3-ulose,C6 H10 O5,162.05276,621911607.5,635192.7273,809863.2279,24324302.1,1533147.977,734921160.5,812698843.3,946108.9466,1187325.836,30615787.09,1245851.869,19467750.26,216372.9342,6-Deoxy-alpha-D-arabino-hexopyranos-3-ulose,6,10,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,27.5411531836458,23.4989519278737,0.8532305009591102,-0.22899255537398613,1.0638767019954706e-4,0.0013032489599444515,Downregulated
Feature0034,[Similar to: 13(S)-HOTrE; ΔMass: 110.8925 Da],C12 H23 N O14,405.11203,70434876.33,2187743.357,1914509.196,145646111.4,6531687.091,572416689.7,765280914.2,2308386.815,6382446.371,143521060.7,6603139.612,81871513,358172.4507,[Similar to: 13(S)-HOTrE; ΔMass: 110.8925 Da],12,23,14,0,1,0,0,1.9166666666666667,1.1666666666666667,0.6666666666666665,41.3,2,-12,4.333333333333333,-1.5,-13,Carbohydrate,26.257589925683135,26.0866348517884,0.9934893082579708,-0.009423653337131323,0.8649980361710117,0.8649980361710117,Downregulated
Feature0033,2-Methoxy-6-methyl-4H-pyran-4-one,C7 H8 O3,140.0474,7908583.55,8206565.677,10447768.55,756334164.2,19048174.14,3997346.666,1111684.87,11169680.6,7528705.961,271622962.8,14063681.95,227809977.8,39878.82246,2-Methoxy-6-methyl-4H-pyran-4-one,7,8,3,0,0,0,0,1.1428571428571428,0.42857142857142855,-0.2857142857142856,68.44285714285714,4,1,0.25,0.4545454545454546,1,Phenol,19.009484237064502,27.925831857653268,1.4690473191904787,0.554880867005126,0.011123091641356768,0.028143482826310698,Upregulated
Feature0032,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -594.3404 Da]",C12 H18 O9,306.0951,453552777.2,598612.8839,653949.9914,156759412.9,826745.6006,518998992.6,664436604.4,400306.0458,543727.928,61458907.53,998336.9811,18463454.85,307675.9177,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -594.3404 Da]",12,18,9,0,0,0,0,1.5,0.75,0,60.3,4,-5,-1.6666666666666667,-0.06666666666666667,-5,Carbohydrate,27.330086738957533,24.47820650327,0.8956505238008508,-0.15899218172474994,0.049125081691432364,0.08915292603259947,Downregulated
Feature0031,Methylmalonic acid,C4 H6 O4,118.02667,413016.2342,287748.2296,476782.4558,2520663.764,871093.6604,443368.7611,684449.6781,312871.7199,429516.0839,606950659.9,84449107.48,652418587.4,94979.48475,Methylmalonic acid,4,6,4,0,0,0,0,1.5,1,0.5,46.05,2,-2,-Inf,0,-2,Carbohydrate,20.113626084961766,21.745236831895934,1.081119671810647,0.1125262273943748,0.5327942799392176,0.593339084477765,Upregulated
Feature0030,L-(+)-Lactic acid,C3 H6 O3,90.03171,420094949.1,4781965.323,5512134.319,228613699,629781932.8,641858382.8,569864324.2,5345095.779,5614182.715,7222948.085,5640868.463,6442576.804,4237373.836,L-(+)-Lactic acid-peak2,3,6,3,0,0,0,0,2,1,0,60.3,1,-2,-Inf,-0.3333333333333333,-2,Carbohydrate,27.981693576847267,23.433074296895764,0.8374430315499152,-0.25593704281269675,0.08987041864288384,0.13657508541282146,Downregulated
Feature0029,[Similar to: L-(-)-Arabitol; ΔMass: 46.0055 Da],C6 H14 O7,198.07396,3640194.106,134226345.9,264812674.8,3575287.142,8484752.97,3336577.418,3972179.61,159042369.4,633644240.1,2974459.777,432559340.5,2684452.65,73384.03486,[Similar to: L-(-)-Arabitol; ΔMass: 46.0055 Da],6,14,7,0,0,0,0,2.3333333333333335,1.1666666666666667,0,60.3,0,-7,7,-1.4,-7,Carbohydrate,19.375420603513934,20.943824870218798,1.0809481403681331,0.11229730991029165,0.008581323739403205,0.0247344037194563,Upregulated
Feature0028,beta-D-Ethyl glucuronide,C8 H14 O7,222.0739,470808109.3,180888.6802,414959.774,16071525.53,780128.5365,548577034.6,572179993.6,229926.9138,1047974.518,23542977.81,260351.2202,15703379.67,104162.7596,beta-D-Ethyl glucuronide,8,14,7,0,0,0,0,1.75,0.875,0,60.3,2,-5,-5,-0.3333333333333333,-5,Carbohydrate,28.5015122339871,21.364561109172,0.7495939490430082,-0.4158187877292152,1.8661301912637051e-4,0.001524006322865359,Downregulated
