"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","<NA>"
"Feature0011",395548.1235,20064742.42,822488.7218,14951493.64,407996.3132,709899.7558,1439370.293,6011735.2,1004850.992,816292.6495,2499519.128,604448.2146,5671403.143,1068122.285,1736529.794,21885764.5,11784144.65,1436255.784,11128158.37,1434342.048,1173107.983,4438886.702,458013.2756,915154.1051,11495516.78,7244240.652,1375546.317,7384193.104,9958736.31,612807.4729,12227702.24,17113506.38,1502220.285,536335.5718,12655820.57,27493946.81,8903484.885,451657.257,868927.5326,18682845.26,44912320.59,424020.5048,1117794.307,1980416.132,514064.1575,1404040.175,1702699.549,9911572.579,4280408.446,34532064.19,3120525.026,18555908.78,447834.0475,12401703.27,24176076.65,16971107.5,13065771.11,450935.7995,1743340.172,11576412.29,718333.7855
"Feature0012",988189.8403,690819.472,19730214.1,3132527.074,12718714.57,24254331.89,10202342.31,2846008.985,4923345.094,15386266.6,1019451.3,1716523.009,1623147.721,17810068.01,20729408.65,814211.1,409631.9218,11454953.82,3912347.548,6980078.54,5211893.624,667864.9858,14463002.84,1766390.121,606921.7139,1918928.07,549977.9707,476868.1061,1477215.262,5299483.991,259553.2743,319253.7422,16029667.24,2467091.288,2707971.48,875008.8302,3256700.993,18439698.17,2065229.867,600298.6149,986133.8499,8055722.62,10390651.13,23762103.23,20663922.87,13885689.29,22956557.01,338667.6968,2097949.209,687504.5223,1886279.248,4352220.513,892821.5692,307346.4481,307981.0062,6640159.883,4062102.297,10348825.89,28459564.04,3627803.046,196852.5746
"Feature0013",112442.3293,20499387.86,122363.7749,913361.8756,112307.7116,117143.787,110310.8878,1048138.118,109964.8703,112812.0993,287327.8676,117580.6575,410298.7447,116453.1224,121635.2203,24269686.37,19795976.8,117677.1938,917521.9733,111077.1138,115465.9906,7967698.205,128242.607,116110.7088,12606374.54,430586.36,120449.0336,11874770.69,550982.0729,113042.5059,13623201.14,21204188.13,125272.6969,119835.3748,1158090.065,28994225.01,666747.4064,126369.4799,116674.8246,25523247.43,29854788.57,119505.0619,117765.6012,119081.1081,123757.7703,121272.378,129392.3492,16618802.58,487688.9497,374879.4175,267585.3393,1411491.774,122341.1639,19768079.34,25888672.52,863408.4291,1291181.807,117940.896,122694.4717,540959.5153,106020.1288
"Feature0014",3510932.464,23857.35416,3803516.352,29196.09853,3784620.164,36526978.74,2733138.735,29627.91326,319288.2064,1258231.665,33330.64926,3407791.63,31302.6812,23062750.08,46475541.75,23418.44855,25315.27265,1046905.824,51748.3015,1091685.542,9457238.809,25744.57811,15534675.61,8060484.794,25163.66864,34721.23676,13139396.05,22788.49249,35514.32356,434334.5369,27978.43491,27059.41289,25599381.21,4683715.226,48837.324,26602.63561,53293.28699,31734597.35,9805377.306,77136.34903,26781.62354,552846.2995,578967.1251,6425021.003,3442608.055,3936047.987,24537656.31,26420.81803,35293.70955,30436.20745,38247.96219,43697.55298,9976994.774,25002.10892,26747.0417,44529.93336,37027.46443,2836030.857,2484100.965,39916.06273,28689.64232
"Feature0015",49393.79055,364917.2208,178378.297,95075.79433,288261.3654,228894.2993,295744.2851,73529.56959,66773.9788,168603.3453,216058.9845,56190.71018,89697.56286,345271.0413,155166.9336,214652.6573,272024.9198,123559.74,126343.1008,134281.9744,86932.04198,215541.8646,450037.3677,124863.9212,168027.2668,98170.27167,11262462.8,209183.673,128876.6409,60383.11556,155751.0804,194105.0794,16061442.46,10337689.92,149405.5014,512281.8017,114736.4683,476594.3226,86834.33587,214275.8765,527934.9157,97083.03321,104302.0848,144858.5602,257577.6711,402353.2335,176149.1319,132704.1393,104102.26,253474.941,95418.32425,129918.5314,118173.4834,323338.5048,24561147.68,727244.3875,361537.2064,7732239.089,19680234.83,506167.6867,52092.3877
"Feature0016",77730.09612,77103.56684,167235.084,200244.7488,89096.51558,138572.0224,84245.78521,194042.4416,69788.28206,111147.1942,55923.0058,74752.85865,186873.8815,148990.3305,168787.3613,96174.79476,79375.23635,186551.5299,290563.3854,85224.66353,71187.08995,197822.4174,147107.9508,97313.98338,76223.25468,151213.9396,97745.97661,65000.07489,213072.1118,87914.62344,72378.37115,86361.73376,91134.08598,96125.90206,211795.7365,124942.2972,100859.411,175008.6286,173422.0826,81469.9245,96685.93783,74223.28302,101000.5733,162654.9064,110241.114,185206.151,113815.1606,72906.38918,82001.5615,25671657.32,70483.83433,125044.6416,127604.1691,76069.52693,122926.1117,316360.5313,258054.7692,99604.97302,130889.1519,90972.96241,41166.67681
"Feature0017",136931.1044,240763.7237,121826.8417,988695.6402,165416.0399,525451.6493,164931.4808,2199817.959,115909.2065,938992.6381,8165178.075,164744.1543,6376991.404,501659.3419,793653.9613,74918.13492,113175.8374,117716.666,607265.7888,162664.4817,163828.4573,2096295.571,151511.7296,114239.6858,76573.0337,4675654.129,136058.0205,76314.7434,7437371.026,130005.8043,80124.76305,79235.07713,186266.2013,130868.1361,13242527.13,213691.0425,25444926.46,168220.2504,185547.5552,327799.8779,291563.2408,168488.6698,140687.7747,188620.8605,212255.218,130917.8196,672608.0579,230488.7215,11121323.31,3502751.592,11832345.86,14987306.6,134255.9136,82247.8653,89268.52671,16852359.91,10621919.22,221834.6931,208575.1499,12266648.06,90494.69993
"Feature0018",116042.3042,56973.57142,1526012.068,662805.1248,6297876.615,24880310.82,1207788.734,187254.7452,172169.0161,1963587.433,56513.30623,195396.8054,97337.53944,14051188.61,3334469.077,58037.39007,998097.1518,6040647.663,296038.9046,845639.6234,9735231.366,55510.76032,12780756.89,7487303.196,59343.68789,107727.2225,11847636.1,54693.17633,128018.7393,373636.695,610775.8835,59593.46446,19671630.02,12473615.88,198304.6094,91654.41477,239835.3638,17894647.11,1552302.676,128340.4129,122324.2982,193364.3462,521416.5815,1667957.097,1667876.709,1316129.616,16951959.32,172580.8009,58206.715,11289373.42,87254.01303,400652.6423,9069072.237,56611.74215,102683.145,658200.0417,328263.6942,883943.9326,3852949.352,207598.9056,55727.75132
"Feature0019",36028.8616,46821.52243,174554.8202,89212.1058,2267794.292,21009263.4,513851.3219,50324.86381,46004.02495,10908775.32,39323.37285,118640.7772,44547.1826,16501658.47,24607581.74,37362.13405,39414.0653,14529737.39,267159.5913,45727.01428,223232.1025,4043425.551,22344318.39,85970.3209,36221.75731,63196.02749,11719837.89,41390.14705,61391.75935,349412.1813,66016.22584,42191.52632,17780145.53,4288929.105,89830.5993,60274.14735,53475.56784,20951983.23,72949.12853,119878.4902,42107.8176,46689.84008,35888.11517,3205908.947,2677675.533,210797.7642,678675.3203,36522.17353,123666.303,741749.6725,45166.25618,107525.5046,53295.04569,38212.48811,83751.06946,66489.60177,117522.0169,49006.98211,16643754.21,83795.24465,34562.77718
"Feature0020",73381.61439,72534.83963,90817.15577,4587696.75,81298.73677,132540.0553,81709.7927,3430733.164,74534.31869,89404.65746,10618227.61,119757.6446,3152996.11,93810.45048,138779.5675,77333.22255,75079.30831,101702.2612,4540783.97,83002.31338,80243.39171,78433.69704,115175.4954,90361.37584,68181.1044,6521876.038,91333.08495,65457.27179,15150982.23,83065.71613,81144.72575,72021.44032,109942.986,77982.47852,18659098.56,75797.54362,17645197.38,115594.4801,88332.37351,84911.14768,74707.62956,73818.1422,69413.29007,102084.0428,96226.08631,78715.0728,114702.9235,68898.71749,15842801.37,104931.3805,10264990.51,23636257.41,78288.79415,66742.71665,79491.397,22784800.85,19594031.65,87047.97947,106324.5592,19965871.21,73152.51001
