"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","<NA>"
"Feature0001",23.3680880709221,24.2355758325043,24.0664584667185,22.6543559283695,23.8588294789771,24.5196697426259,23.5129126333198,22.957693685307,23.4368697915791,24.1522864503769,22.8403874584988,22.5587629864294,23.0484771221823,23.6883012062748,23.5921239457663,24.6413088008175,25.1763315462415,24.74650554449,22.7407873688656,22.9671320135325,22.5924276888289,24.2011880371687,24.6038048913064,23.1283816304591,24.5081317241902,22.791211740067,24.665693086343,24.1266247157372,22.6386055679137,22.7171673093475,24.2877159631972,24.8760406570811,24.2243108700404,24.6756740627002,22.515531739129,24.8297786685872,22.7625580697576,24.3298909851888,23.4111199018485,24.5576754952916,24.9611914996136,23.8208020744917,23.7333163487654,24.1211901905353,24.281926801601,23.8661674591034,23.1361051397527,24.1316426437712,22.6110113452708,23.412179925784,22.9224344110835,22.4857859752638,23.8566257366689,24.8687204088134,25.1372064055843,22.9434754547516,23.4774863610625,23.8956082383241,24.6806225926622,23.9256425609224,22.4922826957189
"Feature0002",19.9078995329209,25.6401265379499,18.1246938909544,23.2041654532698,21.815536096811,22.1484333155421,21.5244754249394,23.2574860274954,20.3245872219289,22.7545284091485,23.4825570287895,21.2059884536642,23.6180961280892,22.8184332582596,21.3210741242203,25.2141771280652,25.0387328671167,22.1779468524885,23.2335787315871,20.4929182037287,20.8070778832154,24.9314541168498,24.3175947054848,18.5511827117716,25.1600356629852,22.9657387520449,23.9254721136929,24.6818120332502,22.8144040781291,19.4549896028766,24.8421933480096,25.3565448229169,23.4274954930568,24.9183141443216,22.5282550989977,25.7132026285846,23.0055756611971,23.8523221351719,22.0190918618113,25.2684322265026,25.1610158102555,21.4653805123113,19.5863583595228,19.750879884204,20.9713110687613,19.7094133231177,21.6272254828498,24.5643235555101,23.0001801231418,21.1035768812482,23.4651905542036,22.7318007578273,22.2642795183829,24.979376453561,25.6608799980152,22.9302165436523,23.045303002083,19.0853804506436,21.9451537269329,23.6085012089479,21.0301182479223
"Feature0003",22.1809790351335,28.5151847268036,20.5351177221004,27.0856009290051,22.2559657181184,27.3292972071069,20.6320125490094,26.9479575445872,21.3067299020031,27.0589403681784,26.4948032690866,21.6429462178198,26.9896257780842,27.5950932395123,27.2861148605598,28.6164318650523,27.7296712605855,28.2696483481986,26.9850572279914,20.5393260238036,23.6549169081377,28.1423211120762,27.4288188812983,20.5974695757586,28.55801034042,26.8694752267775,27.1951586032615,28.2672062578636,26.8888591453137,22.6472636969586,27.9923753188691,28.6842282480353,27.3027649069885,27.549346137565,26.5462576841142,28.8613892019962,26.4020392732853,27.2045544058805,20.6618006617435,28.5826607752405,28.7629682898684,21.0257847679554,20.7582125830414,22.9750059557852,22.6469352313216,20.2479118034332,24.0391631429043,27.3992456236256,25.8080461635694,27.2599041515991,26.4997010618285,26.6335960079392,21.4893126993399,28.5379526156216,28.8634338598009,26.7342119768479,27.2332372138327,20.4832830488673,26.8004603524463,27.6243463926326,22.8718992653198
"Feature0004",21.318104000229,28.7263766863255,20.6904255034674,21.7784447441714,21.1658030120965,20.0706290932088,20.7270293158574,21.7340226259649,21.2925455379537,20.5606596400382,21.4257348361811,21.173850493682,21.5501616143729,19.7869199715285,19.5283386223407,28.9897200808363,28.8313233758566,20.8664446181827,21.4582964723223,21.2376045649242,21.0761366591272,28.4501691679256,20.2680282391948,21.3376230585265,28.7850050964582,21.4547688905104,20.898184237511,28.6099026416223,21.6519009958766,21.7077779401207,28.3305295748805,29.0387494192024,20.4347975594912,21.0226381741926,21.1310569276981,29.0175024267468,21.6560165581105,20.3321524974062,21.2470497510111,28.8049758121252,28.988556795463,21.8916773645947,21.8478634037712,20.775525155585,20.8115648421926,21.1741023162639,19.1513276885429,28.2145853480754,21.6543089475744,22.4367325344682,21.1923034057434,21.5180312603854,20.1805517905185,28.9486208658637,28.6888689271301,21.0241706377949,21.9804702258221,21.667184175519,20.5956947161815,21.5456804965366,22.5247683774842
"Feature0005",26.3762468904961,27.3184153454792,26.2785078769759,23.2834897766607,26.5293880922318,25.7368859412396,26.2716835858787,23.4142270685021,26.6056748272965,25.8529019680775,23.316935759824,24.9159130218071,23.3752281616248,24.330286934522,24.5205366960516,27.4510083348613,26.1811178340149,25.2585506110738,23.0398424038512,26.3934610137758,26.0821331102424,26.442487373946,22.8384024193778,25.7509492652987,27.4736569089678,23.7487830184448,23.9155353986981,27.204304644494,23.6527685979848,26.4805925489374,26.7960731483628,27.4134305593456,22.1929747162069,24.7817598808001,23.7787855056058,27.8507406683141,23.4016201505981,23.2894545999712,25.4819051500425,27.1767113363993,27.3347946880659,26.3520255884566,26.3345759130061,26.3973177504614,26.6871538269945,26.4498587671547,25.7159343109932,26.5066067482836,23.6240388696858,23.8104265759884,23.4656061625292,22.9549455649687,25.0749063740894,27.5406543227969,27.3006752791406,23.5213800361106,23.4334080397148,26.9294767018362,26.6307852493497,23.9415257540077,22.0916303927524
"Feature0006",27.9180096228557,31.0650872884222,26.5391125675712,28.5779530348007,26.3790737272988,26.3355343308651,25.7135024150185,28.715506710993,27.0656775669943,25.4208157723201,25.6898969584472,26.8853837371827,28.4543719266052,24.1002160511876,25.6077547168714,31.0282102361244,30.0508391887762,23.5843237611553,28.846149575653,26.911300155058,26.8241475490671,30.7622496782699,24.8237384668247,27.7190077973267,31.261506909783,28.5913703489077,24.7911156150003,29.7782723631103,29.7392005091135,26.0112466185359,30.3948658603735,31.002367899705,23.8469122781049,23.2630079778042,28.9157915374849,31.2132758263672,25.9701016557592,23.9443444608129,27.7325284864028,30.9368827317326,31.1712583235089,26.7190604394979,27.1109067982207,25.4887763094111,25.8208204456412,26.1738266593301,28.0632311587806,29.8002787821783,25.3138968696379,29.7993189428293,25.8831403745144,29.2329315527994,25.6162594504793,30.8873020370293,30.8367627624109,28.655316679695,28.2704469888106,26.397382596881,25.3177682733593,27.4901351724193,24.5375600897615
"Feature0007",19.4066307002756,23.9247053095643,18.9673228844165,20.2484399980614,19.3415496755911,18.9014745945094,18.7856425433893,18.2808283472646,19.7443121431881,18.4454881407913,19.3752371211327,19.0847967341719,19.4591056377316,17.8688177647989,17.8381674497533,24.8844947623825,22.9774898880716,18.9143329593945,19.1679350336494,19.3674949199365,19.2107416067778,23.3875827242442,19.3106125134574,19.2740556477561,24.5549748492715,20.6675298640801,18.9650030201571,24.396534495472,20.3198901473345,19.2649254932621,24.0438493633681,24.6363884422662,19.5176048578585,20.2874773130457,21.4938841466893,24.723008997877,20.025502781202,19.4947256063398,19.3739096155674,24.0825775621753,24.3038420752314,19.7835166664442,20.0738546956969,19.1078803206382,18.7311459637876,19.152133224318,18.1178908223242,22.3140263479203,18.9064293178163,19.5341538045665,19.2021964293571,19.3731089925804,18.7800897427288,24.3958459590738,25.0148824455418,18.8669453399165,19.7363358305661,19.5129488016111,18.0506951398926,18.9378261702136,20.9353331028956
"Feature0008",23.2940219758739,30.8888726988474,21.5409806493696,28.119411616605,21.3372109018578,20.5583051522636,21.3849911797087,29.0264027565589,22.1087231363592,21.0455980424644,29.0603301219096,25.5692236839107,28.8865808913693,20.3848164946326,22.3004989521498,30.6832267723772,29.6463238230476,21.2385777607713,28.9105042261018,21.6709922895973,21.2368177981444,29.9691214154578,20.2938937692318,22.7248366747001,30.0841881243846,28.1068581928251,20.8600195535897,30.7759517447335,28.426678868229,23.0715163693134,30.1842434237223,30.8903919940716,20.0165746025611,20.7914774193677,27.8806408356453,30.6311829758474,28.5968867051961,20.7813678343428,22.2467984237283,30.9611123040191,31.1186504321608,21.8213364201928,21.7211909057225,21.4310365610522,21.6457445650933,21.4377849918097,22.3161897150426,27.6507871209879,22.8261242037617,24.1797104654068,29.0541387128073,28.372927314164,21.7277869382488,29.8008185726328,29.5680871930433,28.3141638730231,29.1455512608725,21.5162771028253,20.8658784162649,29.5225994156352,22.5588707690426
"Feature0009",16.9139466256822,15.9132707355439,15.9249254077598,14.4107962298552,16.5301646350659,15.3395212286799,16.1448170099311,14.598549734132,16.9073986617746,16.3163053208232,16.0205324783811,16.3199317524386,14.7657740883089,15.2897537794572,16.2680636866243,15.6941857027503,16.1551905334705,15.9045948334017,13.9953093898518,15.9000014365545,15.9566864610394,18.986776064791,15.8406819856683,16.271659034718,16.5015880811235,14.4779751715826,16.0901043749242,17.2096659295329,15.0199347492647,16.8048278709232,25.6315649832841,16.4835686277763,16.432841384256,16.1386452852037,14.4455189210037,16.2507216508545,14.7756073313791,15.5538421543905,16.1566406222396,15.6935886328849,16.4193577163434,16.4796768162899,16.3349819789491,16.7685224739324,15.7744089560746,15.7981166137185,15.2940663163104,16.1091077910912,14.9136874155222,14.3869719210435,14.976449811219,13.9610975700302,16.0763449722112,16.4329053834921,16.5890570960128,14.8392262129954,14.375184687489,16.2087693921635,15.9012251278154,14.6039569338091,18.7006762297785
"Feature0010",18.45397301149,22.535231287134,20.8315119592602,19.9045180770158,20.8411689760288,23.1322227769755,20.5063191688037,19.9334687092886,20.743840568042,22.2376856717952,19.3360619931428,18.6953114855405,19.5104001660205,23.2862300697453,23.4052348322088,22.8078779346514,23.78592082397,23.3322993905449,19.7299872787778,19.9832148177878,18.9552668207101,22.477543774864,24.0058701417013,18.9720967317583,22.7904992367335,19.9275854315573,23.9915704129503,22.6120281959357,20.1214635678394,20.7411611920626,22.3966229551318,22.9045617269351,23.7009032519081,23.9708000756713,19.5493008529565,23.0584631399785,19.127079302179,23.8686250592658,19.3478484365588,22.8232309542235,22.9549776704504,19.5054652714743,19.4416598300619,20.8312242891692,20.9654660055629,21.0627858138958,18.8854852422376,22.301104983245,19.0954988321077,22.0810091997436,18.6944440287245,19.9023167405357,20.1330316454006,22.7870554002661,23.0912512955299,19.6581096378189,16.1521963165137,18.1133520791437,22.495969335204,19.7460974208204,20.6862762522632
