"","1","10","11","12","13","14","15","18","19","20","21","23","24","26","27","29","3","30","33","34","35","37","38","39","4","42","43","44","45","46","47","49","5","51","52","53","56","57","58","59","6","60","7","8","9"
"Feature0001",42906.11431,91280.22079,2382631.415,229867.8078,2232419.573,672501.8481,121738.5628,214926.4026,3219248.414,77588.77834,99722.7221,24904.87011,533574.2671,2175489.973,948587.1493,1450967.848,78723.65269,62929.8333,786277.4009,256353.9214,3025567.848,2351011.732,1167021.211,293677.9386,1658776.154,70011.89406,48134.78472,108859.1458,90676.63024,74029.45096,154135.8025,1743195.766,103332.6752,2079512.309,1999657.839,370755.4991,2610039.111,1566282.362,45470.19225,123455.7155,71933.68914,2717680.089,60431.54757,3006075.263,33130.16827
"Feature0002",69878.01397,66849.82862,57023.50968,81116.8822,55103.09644,83542.61521,102416.9144,68871.82436,58179.95019,2669222.424,135421.3272,56797.90463,81650.41965,60949.0214,80209.81654,59033.54272,496561.8349,1090549.884,79549.72176,75560.00228,65424.8209,57610.00548,103191.1559,83385.98938,63513.85777,200118.6897,812740.6909,362828.5621,75383.34675,741628.4141,93888.16618,56235.35065,122148.8389,58853.12996,64152.66477,110633.1296,60388.32173,56898.50872,3317806.012,76395.2647,73230.55157,71020.83286,954628.9439,59770.34277,221533.9945
"Feature0003",825512.6796,328982.0533,742098.6963,2122464.995,641076.6991,2645508.362,222346.9563,1829099.075,619452.6986,412133.391,349947.2111,84142.13846,1818468.565,658241.1043,3904878.889,496011.7143,74506.15668,254293.762,3813514.458,745007.6961,738400.0889,691193.5495,3593983.359,2110839.698,486827.5035,232082.001,173154.6287,151565.716,87547.21733,168611.35,518506.5972,449079.4521,152551.0644,639581.3478,504681.6053,1746854.464,604543.809,511228.5923,119666.6708,357330.5589,241402.689,934479.9921,307291.1442,738579.5346,118028.6597
"Feature0004",96425.71915,2771941.072,50284.53591,74981.78475,49232.36517,2652659.555,2902519.783,4057613.249,75063.97907,51209.26612,1338223.542,73912.07787,275457.3091,49441.75923,3654686.359,86436.72876,539527.5335,44084.75744,3112954.244,1432570.289,92757.75373,73551.21431,3753353.097,450393.9502,74809.78781,43040.04283,63446.48793,2181238.277,923262.3254,553343.8526,2177604.567,65550.05966,1904829.709,48506.51968,58805.49913,931544.749,102023.7184,72898.47927,65424.51079,3655994.451,2241087.45,114579.378,817052.128,50874.67772,43588.00903
"Feature0005",436914.1124,479094.7637,644935.6861,547787.4085,585304.66,504559.6952,484700.3942,839348.3324,1005347.583,324229.2341,890193.3526,86594.84553,526936.8007,636636.2514,4132127.699,703269.2494,283122.9052,407639.9857,3380820.863,539830.9553,1706001.775,1023538.882,2947935.021,493262.2004,807376.096,432757.7462,518228.1381,390766.3637,260454.6359,247618.3345,1344479.292,546637.4875,291062.8747,530043.6665,733338.9696,437055.6268,1193813.242,729064.9836,620786.631,612233.7894,529856.365,514797.7934,406994.7184,848906.337,261156.0286
"Feature0006",462922.0972,295823.1929,2802820.547,659513.6724,2208013.119,497235.4,700254.5179,489248.6413,2982760.799,478235.043,679011.7744,379256.0462,878817.9835,2934987.054,1501382.838,3473239.427,414952.5308,300896.7411,1659083.279,163834.7049,4150347.723,2608968.179,1510972.689,1005063.503,2719442.017,256046.1915,494903.36,371424.369,579825.6218,248206.1484,986312.3067,2331607.348,246242.0047,1901084.375,3551849.099,567115.0799,3652790.648,2276327.819,341081.6937,473947.7321,483217.3748,2015080.85,200073.2534,2333764.827,197071.8139
"Feature0007",311412.3732,743943.0176,587785.8829,458802.9819,499151.2763,472777.0225,1008570.067,1277173.36,741384.5075,1117668.431,779156.3298,107271.5257,489248.1968,827008.7515,4181606.497,1278137.476,1334113.044,695313.4169,4386416.843,735961.6645,982730.3146,727140.4832,4067666.742,487212.3926,869391.142,599838.774,875263.4678,1754205.486,1521621.392,887697.5781,1551298.473,1268233.531,868725.1146,553288.7362,1521817.085,398202.1231,1682311.884,555281.0276,1185201.989,1658625.921,900186.3134,363208.6114,1245607.867,823329.8063,581476.1953
"Feature0008",159047.7571,252513.1972,200106.0429,117725.6203,199409.028,199417.5866,84762.08574,56646.19459,161402.3747,155099.2911,168175.3489,114572.1853,49286.85112,85913.23635,77881.91536,193442.2924,57102.2867,43598.96204,80640.29625,227368.3018,214867.7558,79759.96681,272399.9432,166164.6132,214963.8249,211042.9552,153417.9268,222255.8615,263956.2865,227373.7001,121390.4312,202989.8959,139092.2926,283258.9809,205504.0235,168597.686,220191.5716,192814.1733,167776.3893,180432.1666,177224.0228,167177.5067,57776.00243,74852.07754,164548.981
"Feature0009",1245628.346,1044637.07,535957.7381,1525553.054,633213.8816,2709523.131,1809726.532,852177.365,1257433.503,996158.1889,2633558.58,57554.38293,2302609.169,715061.1764,2162869.888,1260828.663,1067227.703,745061.5083,1642283.109,513033.5353,1297883.233,658443.9896,1802341.974,2386058.179,728454.734,646650.3375,992464.9779,1238308.065,624375.5052,1164420.973,4545676.992,873030.2333,1207618.985,515405.6046,1403658.265,1986686.288,2269894.687,853212.7766,1204189.452,1364533.305,1789827.487,589083.4532,1795288.295,1012414.146,522574.2264
