FeatureID,Name,Class,BiogeochemicalClass,FIShScore,1246,1154,1177
Feature0097,"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one",Other,Phenols,78.57,-0.103804845,-0.200941242,-0.2102648
Feature0097,"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one",Other,Phenols,79.57,-0.103804845,-0.200941242,-0.2102648
Feature0097,"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one",Other,Phenols,80.57,-0.103804845,-0.200941242,-0.2102648
Feature0098,5-Methylhexan-3-one,Protein,Amino acids & derivatives,44.44,0.085129835,0.226826887,0
Feature0098,5-Methylhexan-3-one,Protein,Amino acids & derivatives,45.44,0.085129835,0.226826887,0
Feature0100,6-(alpha-D-glucosaminyl)-1D-myo-inositol,Carbohydrate,Carbohydrates,,0,-0.155881143,-0.1472803
Feature0101,6-Aminocaproic acid,Protein,Amino acids & derivatives,39.62,0.135689334,0.291765591,0.30642428
Feature0101,6-Aminocaproic acid,Protein,Amino acids & derivatives,40.62,0.135689334,0.291765591,0.30642428
Feature0101,6-Aminocaproic acid,Protein,Amino acids & derivatives,41.62,0.135689334,0.291765591,0.30642428
Feature0102,"6-chloro-2-(3-ethyl-5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)-4-phenylquinoline",Unsaturated HC,Other,17.86,-0.059158024,0.440037075,0
Feature0102,"6-chloro-2-(3-ethyl-5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)-4-phenylquinoline",Unsaturated HC,Other,17.86,-0.059158024,0.440037075,0
Feature0103,6-Hydroxy-3-coumaranone,Condensed HC,Phenols,21.43,0.413107907,0,0
Feature0104,6-hydroxypropylthymine,Protein,Amino acids & derivatives,,0,0.053958784,0
Feature0105,"6-Methoxy-1,2,4-benzenetriol",Phenol,Phenols,56.14,0.449192317,0,0
Feature0107,8-hydroxy-deoxyguanosine,Phenol,Benzoic acids,68,-0.027922396,0,0
Feature0110,"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 150.0318 Da]",Phenol,Other,,0.646987904,0,0
Feature0111,"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 186.0293 Da]",Phenol,Other,,0.669717381,0,0
Feature0112,"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 200.0452 Da]",Phenol,Other,,0.491641793,0,0
Feature0113,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: -36.0235 Da]",Condensed HC,Phenols,,0,0.441602812,0
Feature0114,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: -36.0235 Da]",Lipid,Phenols,,0,0.501682512,0
Feature0115,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: 306.0929 Da]",Other,Phenols,,0,-0.433538646,0
Feature0116,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: 306.0930 Da]",Other,Phenols,,0,-0.413631685,0
Feature0118,[Similar to: (3S)-N-Phenyl-3-[5-(trifluoromethyl)-1H-benzimidazol-2-yl]-1-pyrrolidinecarboxamide; ΔMass: 83.0079 Da],Carbohydrate,Other,,-0.126352977,0.100259899,0
