FeatureID,H_to_C,O_to_C,Class,Fungi,GFE,Name,Comment,log2FC,pval,pval.adj
Feature0257,2.333333333,0.666666667,Other,1246,60.3,Lactamide,Downregulated,-0.087409631,0.003229318,0.014374404
Feature0255,2.25,0.75,Carbohydrate,1246,60.3,L-Threonine,Downregulated,-0.044403609,0.014668625,0.036924469
Feature0253,1.818181818,0.545454545,Protein,1246,65.48181818,L-Saccharopine,Upregulated,0.186218822,0.016281264,0.039883634
Feature0248,1.5,0.333333333,Protein,1246,41.3,L-Histidine,Downregulated,-0.054693024,0.00886293,0.027249861
Feature0247,2,0.6,Amino Sugar,1246,48.9,L-Glutamine,Upregulated,0.293959943,0.002931684,0.013545124
Feature0241,1.75,0.375,Protein,1246,67.425,L-Alanyl-L-proline,Upregulated,0.144709454,0.021418455,0.048850308
Feature0240,2.2,0.4,Protein,1246,83.1,L-(+)-Valine,Upregulated,0.254698097,5.69E-04,0.005768213
Feature0237,1.3,0.8,Other,1246,31.8,Inosine-5'-monophosphate (IMP),Downregulated,-0.590715438,0.005231869,0.02039402
Feature0236,1.2,0.5,Phenol,1246,31.8,Inosine,Downregulated,-0.256495232,0.007748331,0.025555059
Feature0233,0.8,0.2,Condensed HC,1246,3.3,Hypoxanthine,Downregulated,-0.375207964,0.009108173,0.027249861
Feature0232,1.5,0.1,Lipid,1246,88.8,Hordenine,Downregulated,-0.098309258,0.008784008,0.027249861
Feature0230,1.583333333,0.416666667,Protein,1246,60.3,HC blue 2,Upregulated,0.215304426,0.001123448,0.00746433
Feature0228,1,0.2,Phenol,1246,-8.1,Guanine,Downregulated,-0.404169114,7.25E-04,0.006613673
Feature0226,2.8,1.2,Other,1246,83.1,Glycerylphosphorylethanolamine,Upregulated,0.206170627,0.0038131,0.015464239
Feature0224,1.6,0.8,Carbohydrate,1246,60.3,Glutaric acid,Downregulated,-0.11043763,0.003742101,0.015346817
Feature0223,2.166666667,0.833333333,Carbohydrate,1246,60.3,Glucosamine,Upregulated,0.257072567,4.11E-04,0.005434001
Feature0221,1.875,0.5,Protein,1246,74.55,DL-α-AMINOSUBERIC ACID,Upregulated,0.460549563,2.22E-04,0.005044472
Feature0218,2.142857143,0.428571429,Protein,1246,84.72857143,DL-Carnitine,Upregulated,0.312485938,1.26E-04,0.004603714
Feature0217,1.4,0.4,Phenol,1246,60.3,DL-Carbidopa,Upregulated,0.084345224,7.48E-05,0.004527273
Feature0216,2.333333333,0.333333333,Other,1246,50.8,DL-Arginine,Downregulated,-0.049896106,0.017824224,0.042521843
Feature0215,2,0.571428571,Amino Sugar,1246,60.3,"DL-2,6-Diaminopimelic acid",Upregulated,0.223458102,9.40E-04,0.007140369
Feature0213,1.636363636,0.363636364,Protein,1246,34.39090909,"Diethyl 1-[4,6-diamino-2-(methylsulfanyl)-5-pyrimidinyl]-1,2-hydrazinedicarboxylate",Upregulated,0.341937797,2.63E-04,0.005044472
Feature0212,1,0.333333333,Phenol,1246,69.8,Diacetylene glycol,Downregulated,-0.209281818,0.014488482,0.036724277
Feature0210,1.888888889,0.555555556,Amino Sugar,1246,72.96666667,D-PANTOTHENIC ACID,Upregulated,0.104179185,9.47E-04,0.007140369
Feature0207,1.666666667,1,Carbohydrate,1246,50.8,D-Glucono-delta-lactone,Downregulated,-0.198757079,9.59E-04,0.007140369
Feature0206,2,1.166666667,Carbohydrate,1246,50.8,D-Gluconic acid,Downregulated,-0.059759579,0.003133819,0.014121531
Feature0205,1.125,0.3125,Phenol,1246,74.55,Cytonic acid A,Upregulated,0.494732676,2.56E-04,0.005044472
Feature0203,1.444444444,0.555555556,Phenol,1246,41.3,Cytarabine,Downregulated,-0.122424181,0.01613831,0.039800562
Feature0199,2.6,0.8,Other,1246,60.3,Choline O-Sulfate,Upregulated,0.218996216,1.78E-04,0.005044472
Feature0198,2.6,0.2,Other,1246,105.9,Choline,Downregulated,-0.098865309,0.001942901,0.010428806
Feature0197,2.157894737,0,Lipid,1246,117.3,Cetrimonium,Downregulated,-0.0697983,0.012943737,0.034235246
Feature0193,1.666666667,0.5,Protein,1246,79.3,Butyl glyoxylate,Upregulated,0.178225952,0.001789969,0.009899072
Feature0191,1.666666667,0.833333333,Carbohydrate,1246,60.3,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Downregulated,-0.102847412,8.81E-04,0.007140369
