SampleID,Fungi,Fungi2
10_CTRL_1154.3,1154,1154/1177
14_CTRL_1177.3,1177,1154/1177
19_CTRL_1246.2,1246,1246
2_CTRL_CTRL.2,CTRL,Control (Media alone)
40_CTRL_CTRL.3,CTRL,Control (Media alone)
41_CTRL_CTRL.1,CTRL,Control (Media alone)
46_CTRL_1154.2,1154,1154/1177
47_CTRL_1177.1,1177,1154/1177
57_CTRL_1246.3,1246,1246
59_CTRL_1154.1,1154,1154/1177
60_CTRL_1246.1,1246,1246
