"","10_CTRL_1154.3","14_CTRL_1177.3","19_CTRL_1246.2","2_CTRL_CTRL.2","40_CTRL_CTRL.3","41_CTRL_CTRL.1","46_CTRL_1154.2","47_CTRL_1177.1","57_CTRL_1246.3","59_CTRL_1154.1","60_CTRL_1246.1"
"Feature0112",365868.0358,310891.6978,434436750.1,287214.6026,504388.769,305191.0659,313585.4058,347524.3718,207671151.9,299136.4618,206326312.2
"Feature0113",37878783.02,735566.9957,498700.2956,490098.6979,186962.7713,145459.7712,22696725.6,26324278.71,234518.3533,36069484.14,259944.8361
"Feature0114",66432504.5,13488136.1,330982.8242,134551.1071,270464.5963,278119.0763,36379262.72,31019999.45,205174.856,55499994,132206.6129
"Feature0115",797228.5046,757400.4741,20063226.92,280294686.3,271014092.1,356434855.1,649368.0523,1222730.694,2857137.58,882699.8085,853103.036
"Feature0116",914592.2962,868900.9923,20695804.62,280294686.3,271014092.1,356434855.1,744964.605,1402734.682,5347574.463,1012646.236,918471.1023
"Feature0117",6538842.598,12153405.74,96918776.19,237865118.1,217760703.8,242496106.2,492807.0261,11423195.39,86447176.37,2719008.8,76360420.74
"Feature0118",39486508.89,8975428.55,9301641.41,33902366.23,35937529.26,53890226.55,43221614.04,9572240.375,5894983.706,73791183.51,3024894.273
"Feature0119",148735.3034,154537.6976,95657265.55,154176.9189,147575.605,163011.7931,155070.6835,162981.7772,80861719.11,147220.0477,70229895.49
"Feature0120",18479375.68,1116094.152,51019538.07,52634589.15,61919135.43,60020121.43,236311.3678,4231488.686,116647129.2,36385496.88,146570190.1
"Feature0121",27525083.77,29535625.73,23559543.01,21158186.51,20189084.97,23187832.71,27955471.81,23099632.36,25222364.17,28489641.08,20956662.38
"Feature0122",236940141.5,240820423.5,199448020.9,179341089.2,185576452.2,195799833.3,248453666.5,198594757.8,208345071.7,242086998.1,180770687.5
"Feature0123",48292732.57,48991754.77,36866261.79,32659403.99,34326481.82,37547527.33,50337080.2,35287239.43,40281414.24,46061560.85,34921951.7
"Feature0124",55033750.83,60923543.72,44242765.36,40034868.98,41714172.22,44686142.14,63682466.83,38898614.81,51117540.6,59468275.49,42562795.25
"Feature0125",32215735.67,39079175.09,26269683.33,22305963.74,24931738.94,26373735.43,37035877.81,22709896.49,27250421.45,32991877.25,24576339.07
"Feature0126",3538959.964,1995099.343,3949391.198,13482627.82,13274181.7,14661742.45,3577120.535,3464962.409,1884035.418,2791984.819,2117451.849
"Feature0127",370268.3114,270702.7934,558758.7773,1157154.234,1424621.096,962726.8538,523560.6644,1760862.329,546051.2187,740708.3996,282213.192
"Feature0128",42714107.22,2952913.228,82565287.14,567425623.3,583126337.3,717025168.7,34070349.86,5521840.325,27782208.11,58036510.75,8299621.399
"Feature0129",28037775.2,1031791.678,4887574.136,141590069.1,139658438.9,167574290.6,20294235.42,1790956.268,2084654.502,35865185.39,610727.4573
"Feature0130",468138.3851,565058.9356,73195817.06,165844913.8,97830482.49,110390034.1,1839943.837,1692432.436,62419153.41,2394323.813,65193058.91
"Feature0131",300074152.1,325659025.9,336786575,14180008.24,276349725.4,313796922.3,318802117.1,34230763.29,344005333.5,14615307.18,19896198.02
"Feature0132",1719919.709,1465225.395,33427407.96,62411172.73,68000536.02,75376251.59,1338567.527,1489411.36,26054031.31,2722822.315,16885870.23
"Feature0133",262098.8898,1700523.154,32225350.69,9889421.555,7759537.284,10804634.44,1554585.725,1508082.051,6285890.351,795065.9568,4851553.437
"Feature0134",441465.0383,155273.0408,3186037.005,30591915.98,28171886.62,31766999.44,431133.4305,244791.9899,1413104.909,516868.8276,723251.2844
"Feature0135",5731201.321,5950984.682,5728804.253,58804858.72,59105176.19,60091380.15,1210693.496,13279878.06,1410468.016,3876219.614,700518.2611
"Feature0136",1608912.34,14639336.69,51077795.3,45730673.57,46491094.8,53661854.55,2333035.533,8404100.408,37403091.34,1698500.126,34177989.72
"Feature0137",156980.5538,8896900.784,28305602.39,62050184.92,66405255.23,75197195.08,168978.878,279686.1723,17068195.49,150258.2165,11755715.43
"Feature0138",907018.4959,21540437.07,74765967.86,96765591.18,92465339.11,110746813.5,841971.5947,9562299.549,57485765.44,806390.1713,53351658.94
"Feature0139",2803262.966,7067252.651,19976271.31,24753494.31,23369953.08,28379601.04,59357.87842,154728.8187,15489169.25,215346.6335,4373698.123
"Feature0140",739087.8845,781660.756,24713412.93,23366046.73,28012453.16,22582712.92,624118.6101,997041.6978,18833449.16,668316.371,12153136.32
"Feature0141",556197.3699,677694.6428,36843132.51,77571739.17,92903071.87,77801955.82,115247.6057,498779.3351,31719742.48,152013.9633,33973872.54
"Feature0142",442444.654,1676402.411,221008012.3,660554013,635866198.4,746104232.2,1520841.662,2026894.264,99747419.31,682945.1182,21175047.25
"Feature0143",310465486.6,131596102.5,950451201.9,746995881.3,721840190.1,838917296.9,215677143.8,231988053.3,867246684.9,305290998.1,789888069
"Feature0144",1020557.468,520017.9904,35097591.07,3611948.925,2084841.401,6273083.373,1581937.177,1929859.682,34831105.02,259299.8897,34362281.57
"Feature0145",6062970.522,5223066.327,36010390.85,1316155.32,475857.9783,1405513.769,6931033.317,12986026.23,41094792.66,8974703.896,38679199.87
"Feature0146",55175037.3,131596563.8,14626027.56,6976231.504,7034282.218,7913128.78,48900.68033,14991897.32,10575490.6,39045340.21,8690767.064
"Feature0147",149654094,166754708.2,174959574.4,199102884.7,186723721.1,238486068.9,109003061.8,188150279.7,146181826.9,161244897.2,109043725
"Feature0148",62416790.6,71452525.56,79988425.67,86341603.45,83037260.71,110093176,48709210.85,84667317.61,65025874.97,74213480.62,57755628.48
"Feature0149",9956526.617,22934903.49,893772.1212,189494.6676,187999.8484,197235.5677,20315317.48,31723016.63,741949.4549,22189233.07,226569.2581
"Feature0150",599875.7483,602716.4752,49276544.14,710038.8042,754946.3483,826510.3836,1788422.691,868080.0927,51358302.53,527174.7627,50346779
"Feature0151",10750696.31,5145680.583,125051.0028,254822.2992,255732.3012,320330.6102,14864298.97,34676811.03,112298.3537,20955447.33,76724.00446
"Feature0152",108588421.4,203036134.9,369533758.5,303225176.5,280832938.8,327387429,856022.7639,18454954.69,312787258.4,95731065.1,281783903.6
"Feature0153",30011088.13,16260605.04,35633754.25,188959762.6,225421914.4,266857583.3,19571700.31,21661274.65,15513720.66,40565079.72,9574786.361
"Feature0154",949754.7693,1046852.38,30632144.7,2525895.808,2433534.646,2747933.759,1253350.619,2087247.539,1909129.161,825057.2649,130231.7526
"Feature0155",1419436.954,1815319.252,1529728.557,67502.63885,2433534.646,69357.39212,1253350.619,2087247.539,39872268.34,1989614.861,4848531.024
"Feature0156",8910579.75,3174442.349,3625975.671,47724782.1,49557288.58,55206234.22,6114734.105,4210891.406,2040734.672,12029177.57,1124002.775
"Feature0157",24483713.72,26811740.51,18476708.63,255250.3086,641620.5082,330507.4375,75257261.21,147939119.7,6097684.666,48643941.48,15118868.22
"Feature0158",201064.0108,211915.2947,224158198.3,206849.6993,200296.0846,194395.8611,192394.7924,209671.8879,241873033.1,189955.4066,252861096.2
"Feature0159",333014.1304,253620.8923,66619313.45,546633.7001,571263.9947,533191.4494,499090.4834,383646.1157,74122840,400360.4361,99010862.14
"Feature0160",2549048.293,1763640.803,75958683.31,128157147.4,131103359.5,163091397.4,4252566.302,2522221.196,56747064.75,3642198.506,35543139.17
"Feature0161",1646092.057,1059927.477,66343852.35,278644338.7,230093910.3,311800493.5,1729607.184,1161946.64,58319974.72,4537963.014,46460818.9
"Feature0162",578534.909,1995002.989,9481312.281,12656648.94,13228537.74,12058187.77,499294.5555,1988807.227,6339275.788,2060618.291,5045779.363
"Feature0163",51011925.79,49030736.64,65128880.06,32228096.69,59747498.53,63741754.68,25554116.66,37147697.22,37412745.28,41737739.25,41261236.49
"Feature0164",14257128.15,23142282.6,77477477.18,26933618.98,48426208.91,47495531.18,17710980.3,29081953.95,107818499.3,17251800.33,114750874.5
"Feature0165",50278733.54,70061332.74,196516151.5,127050819.2,139380809.7,145960243.1,37714392.85,40310852.29,123286815.8,39780861.06,108751162.2
"Feature0166",7228978.608,10846860.63,18209256.38,55818599.32,66939388,68110095.37,399928.9491,9075482.582,14961769.88,3852659.648,20635309.69
"Feature0167",15336134.06,23979023,148943599.5,415740373.5,404694621.3,437342039.5,1292563.806,22730812.71,134575931.7,6865112.522,120047478.5
"Feature0168",19773096.51,17148976.01,132945.7721,134661.4124,138390.4785,134368.9321,90537533.88,18410247.32,116712.6199,40031618.94,113672.7014
"Feature0169",1521820.82,1426280.568,149244926,120417888.8,126653611.5,133154000.9,1001937.177,1144482.267,148226165.1,1646068.21,121147385.3
"Feature0170",40113404.41,20775866.07,2343318.103,1691355.299,1700540.554,1568733.721,814472.3148,7915789.298,3868073.992,28137749.07,3947438.581
"Feature0171",576470297.9,909513703.5,1342415660,1193014157,1225068453,1362851070,2653319.352,162251242.7,1131095709,434368353,1052446029
"Feature0172",42562104.15,86738870.1,181078841.8,137111520,146192654.9,163247329.3,88576.66199,6141123.584,125278408.2,31993957.98,112465436.2
"Feature0173",1681443.332,3046349.317,15021912.02,156868229.9,139553668.4,155941288.4,363167.4833,5544689.195,10390048.46,1778681.665,8109242.04
"Feature0174",391067.4221,522605.0835,159630414,706652.8262,1149566.307,1507500.467,267683.1355,787339.3245,113958709,793617.5258,89314040.6
"Feature0175",7308390.78,3138025.762,1094891.482,270118823.6,258228901.5,282345495,9181665.181,15699399.2,802925.5658,8015704.776,779278.4099
"Feature0176",748308052.2,699617080.9,1181096043,174025292.4,157062028.1,189603144.7,622116547.8,1357879527,4163737.368,4852387.171,8183506.899
"Feature0177",479697.0563,3617470.596,2498225.622,9604087.919,9702413.335,18939161.84,106865.1655,18816275.1,564162.7359,824897.3547,529327.2215
"Feature0178",278337.5576,2257560.54,2785024.793,2630916.921,2684425.038,3795972.374,202455.0161,411485.5158,64796696.87,11500893.63,40381894.56
"Feature0179",166600112.9,164401320.6,205999440.4,132134939.5,118836692.8,141741082.6,149046031,200883380.2,123036.9446,6307970.884,4602528.305
"Feature0180",3371882.218,6706403.173,436104.199,1551102.32,1515770.558,1633279.445,2586388.663,12116298.08,383364.1891,405991.3344,241083.4327
"Feature0181",5780302.092,15524400.75,26270361.95,171243.6982,7118895.082,8875796.203,100146.2386,7765884.508,17264326.91,3929192.873,9653059.648
"Feature0182",6847134.754,7652570.689,20815473.69,2076530.732,4483695.42,5043239.086,7917530.982,3867174.154,21523587.81,15341270.43,7216484.818
"Feature0183",2829231.197,2117250.767,38315106.14,61943609.1,61007295.79,72477746.95,3991033.129,5479024.168,32892080.93,4663465.322,23900029.36
"Feature0184",105739.5733,119655.5348,43266287.8,121273.8093,114317.734,131035.756,154680.499,132691.6699,44225770.47,112040.1118,37714224.35
